Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
Masthead shows the shop location's full identity details,Masthead and Letterhead,Functional,High,"1. You are signed in to ShopView.
2. A work order exists whose shop location has a name, street address, city, state or province, postal code, and phone number all set.","1. Open the work order and generate (or preview) its Invoice document.
2. Look at the masthead (the header block at the top of the document).","1. The masthead shows the shop location's name.
2. It shows the shop location's street address, city, state or province, postal code, and phone number.
3. All of these identity details read exactly as they are entered for the shop location.

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, section S1-R1, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-R1),,
Shop logo shows when set; nothing (no placeholder) shows when unset,Masthead and Letterhead,Functional,Medium,"1. You are signed in to ShopView.
2. You can reach one shop that has a logo set and one shop that has no logo set (or you can add then remove a logo on a test shop).","1. Generate a document for the shop that HAS a logo set and look at the masthead.
2. Generate a document for the shop that has NO logo set and look at the masthead.","1. When the shop has a logo set, the masthead shows that logo.
2. When the shop has no logo set, the masthead shows no logo at all — and no placeholder image, box or 'no logo' text appears in its place.

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, section S1-R2, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-R2),,
Document label names the type before the number on each document,Masthead and Letterhead,Functional,High,"1. You are signed in to ShopView.
2. You can generate an Estimate, an Invoice, and a Credit Invoice for known documents.","1. Generate an Estimate and read its masthead document label.
2. Generate an Invoice and read its masthead document label.
3. Generate a Credit Invoice and read its masthead document label.","1. The Estimate label reads exactly ""Estimate: {number}"", for example ""Estimate: EST-4176"".
2. The Invoice label reads exactly ""Invoice: {number}"", for example ""Invoice: INV-4176"".
3. The Credit Invoice label reads exactly ""Credit: {number}"", for example ""Credit: CM-2202"".
4. In every case the number always includes its type prefix (EST-, INV-, or CM-), and the type word comes before the number.

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, sections S1-R3 and S1-R4, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-R3; S1-R4),,
No status pill appears in the masthead on any document,Masthead and Letterhead,Functional,Medium,"1. You are signed in to ShopView.
2. You can generate an Estimate, an Invoice (including a fully paid one), and a Credit Invoice.","1. Generate each document type, including a fully paid Invoice and a Credit Invoice in various states.
2. Look at the masthead of each.","1. No status label or pill (for example ""PAID"", ""PAID IN FULL"", ""DRAFT"", ""VOIDED"") appears anywhere in the masthead of any document.
2. The only place a status indicator appears is with the content that proves it: the Paid banner's pill (on portal-generated Invoice PDFs) and the Status column in the Credit Invoice's status table.

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, section S1-R5, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-R5),,
No money figure in the masthead; headline figure is the boxed total,Masthead and Letterhead,Functional,High,"1. You are signed in to ShopView.
2. You can generate an Estimate, an Invoice, and a Credit Invoice that have monetary totals.","1. Generate an Estimate and look at the masthead, then at the end of the totals block.
2. Generate an Invoice and do the same.
3. Generate a Credit Invoice and do the same.","1. No monetary amount appears anywhere in the masthead of any document.
2. On the Estimate the single headline figure appears once, as the boxed figure at the end of the totals block, labeled ""Estimated Total"".
3. On the Invoice the boxed headline figure at the end of the totals block is labeled ""Balance"".
4. The Credit Invoice has no boxed headline figure; its masthead carries only ""Credit: {number}"" and ""Issue date: {date}"", and its key figure (Total Credit) sits in the totals block.

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, section S1-R6, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-R6),,
Masthead date labels read correctly for each document type,Masthead and Letterhead,Functional,High,"1. You are signed in to ShopView.
2. You can generate an Estimate, an unpaid Invoice, a fully paid Invoice, and a Credit Invoice.","1. Generate an Estimate and read its masthead date label(s).
2. Generate an unpaid Invoice and read its masthead date label(s).
3. Generate a fully paid Invoice and read its masthead date label(s).
4. Generate a Credit Invoice and read its masthead date label(s).","1. The Estimate masthead shows ""Estimate date: {date}"" and no due date.
2. The unpaid Invoice masthead shows ""Invoice date: {date}"" and ""Due date: {date}"".
3. The fully paid Invoice masthead shows ""Invoice date: {date}"" and ""Paid date: {date}"" (Paid date replaces Due date).
4. The Credit Invoice masthead shows ""Issue date: {date}"".
5. Every date reads in the fixed format, for example ""Jan 5, 2026"".

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, sections S1-R7 and G-R1, read on 31 August 2026. The paid-date swap detail is in S10-R4 (see the Estimate and Invoice Specifics cases).

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-R7; G-R1),,
Masthead identity fields each hide when empty,Masthead and Letterhead,Negative,Medium,"1. You are signed in to ShopView.
2. You can reach (or set up) a shop location that is missing one or more of: street address, city, state or province, postal code, phone number.","1. Generate a document for a shop location that is missing one or more masthead identity fields.
2. Look at the masthead.","1. Each missing field among the street address, city, state or province, postal code, and phone number is hidden — no blank line and no empty label is left where it would have been.
2. The fields that do have values still show normally.

---
This is the expected behaviour as per epic SV-8218 and story SV-9140 (Story 1, Masthead and Letterhead) and the Invoice UI Refresh specification version 45, section S1-N1, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9140 (S1-N1),,
Bill To block shows the customer name and address,Addresses,Functional,High,"1. You are signed in to ShopView.
2. A document exists for a customer that has a company name (or personal name) and a full address.","1. Generate the Estimate or Invoice.
2. Look at the addresses area.","1. A block labeled exactly ""Bill To"" is shown.
2. It shows the customer's name — the company name when the customer has one, otherwise the customer's personal name.
3. It shows the customer's street address, city, state or province, and postal code.

---
This is the expected behaviour as per epic SV-8218 and story SV-9141 (Story 2, Addresses) and the Invoice UI Refresh specification version 45, section S2-R1, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9141 (S2-R1),,
Remit Payment To shows when a payee is configured (both mechanisms),Addresses,Functional,High,"1. You are signed in to ShopView.
2. You can reach a document whose shop uses integrated-billing remit-to, and another whose location has its own remit-to setting (remit to another location or a custom address).","1. Generate an Estimate or Invoice where the shop's integrated-billing remit-to is configured; look at the addresses area.
2. Generate an Estimate or Invoice where the location's own remit-to setting is configured; look at the addresses area.","1. A block labeled exactly ""Remit Payment To"" is shown, holding the payee address.
2. The payee resolves from either mechanism: the shop's integrated-billing remit-to, or the location's own remit-to setting.
3. The block appears on the Estimate and Invoice (not on the Credit Invoice).

---
This is the expected behaviour as per epic SV-8218 and story SV-9141 (Story 2, Addresses) and the Invoice UI Refresh specification version 45, section S2-R2, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9141 (S2-R2),,
Bill To spans full width when Remit Payment To is absent,Addresses,Functional,Medium,"1. You are signed in to ShopView.
2. You can reach a document that has no remit-to payee configured (neither mechanism).","1. Generate an Estimate or Invoice with no remit-to payee configured.
2. Look at the addresses area and note the width of the Bill To block.
3. For comparison, generate a document that does have a remit-to payee.","1. When there is no Remit Payment To block, the Bill To block spans the full width of the addresses area (it does not stay at half width).
2. When a Remit Payment To block is present, Bill To and Remit Payment To sit side by side.
3. On the Credit Invoice, where Remit Payment To never appears, the Credit To block is always full width.

---
This is the expected behaviour as per epic SV-8218 and story SV-9141 (Story 2, Addresses) and the Invoice UI Refresh specification version 45, section S2-R3, read on 31 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9141 (S2-R3),,
