"Locations: All locations"
Type,"Part #",Description,Category,Vendor,Location,"Units Sold","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand"
Inventory,GREASETUBE,"EP2 Grease Tube, 390G",HD-Fluids,"Zocrest Maintenance","Staging Lethbridge - 4310",208.00,$4.04,$7.83,"$1,682.73",$815.16,48.4%,215,"54 days",39.00
Inventory,GREASETUBE,"EP2 Grease Tube, 390G",HD-Fluids,"Xawick Consulting","Staging Heavy Duty - 9919",182.00,$4.37,$10.86,"$2,128.78","$1,272.36",59.8%,183,"52 days",23.00
Inventory,20005-30,"WHEEL BEARING GREASE, RED - HIGH TEMP (PRIMGHT64, WOIPR127651)",HD-Fluids,"Baplains Solutions","Staging Heavy Duty - 9919",29.00,$7.21,$11.83,$378.49,$147.62,39.0%,24,"68 days",5.00
Inventory,GREASEBULK,"RED TACKY MP EP2 GREASE","HD-Shop Supply",—,"Staging Heavy Duty - 9919",17.00,$4.38,$9.99,$179.82,$100.98,56.2%,16,"55 days",38.00
Inventory,893.1065,"HHS500 EXTREME PRESSURE GREASE",HD-Fluids,"Boburg Systems","Staging Lethbridge - 4310",14.00,$30.35,$43.35,$650.32,$195.12,30.0%,13,"55 days",12.00
Inventory,SK000283,"Steering Shaft U-Joint, 400 Series, Greaseable","HD-Steering & Suspension","Enson Forestry","Staging Heavy Duty - 9919",2.00,$42.96,$45.89,$229.47,$14.65,6.4%,4,"68 days",2.00
Inventory,FXE-105810,"SHC007 Grease AUTO LUBE SYSTEMS",HD-Fluids,"Weriver Electrical","Staging Lethbridge - 4310",8.00,$28.17,$40.24,$321.92,$96.56,30.0%,2,"111 days",2.00
Inventory,F191357,"GREASE (LOW TEMP)",HD-Fluids,"Zoburg Maintenance","Staging Heavy Duty - 9919",2.00,$9.33,$15.29,$30.58,$11.92,39.0%,1,"75 days",36.50
Inventory,0105019,"CASTROL PYROPLEX BLUE GREASE","AUTO-Oil, Lube & Maintenance","Zocrest Maintenance","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,4.00
Inventory,18-Dec,"GREASE LINE 12""","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,2.00
Inventory,31-05-0153-1US,"U-JOINT, GREASEABLE (1310 WITH ZERK [1.063 X 3.219])","HD-Drive Train",—,"Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,62357,"1/4"" OD GREASE LINE","HD-Hose & Fittings","Reson Farms","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,"222 days",84.00
Inventory,ARW-9863931,"GREASE HOSE 425K","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,ARW-9888942,"GREASE HOSE 425K","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,ARW-9895841,"GREASE HOSE","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,CRC14200,"WHITE LITHIUM SPRAY GREASE",HD-Fluids,—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,ESO105810,"MOBILITH SHC007 GREASE, 18.9L [PAIL]",HD-Fluids,—,"Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,F000584,"AUTO GREASER FITTING, NUT 3/16","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,"523 days",12.00
Inventory,F000584,"AUTO GREASER FITTING, NUT 3/16","HD-Hose & Fittings","Weriver Electrical","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,F000585,"AUTO GREASER FITTING, SLEEVE 3/16","HD-Hose & Fittings","Weriver Electrical","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,5.00
Inventory,F000585,"AUTO GREASER FITTING, SLEEVE 3/16","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,"523 days",11.00
Inventory,F118246,"3/16"" GREASE LINE","HD-Truck Accessories","Zoburg Maintenance","Staging Heavy Duty - 9919",0.00,—,—,$0.00,$0.00,—,0,—,2.00
Inventory,F118246,"3/16"" GREASE LINE","HD-Truck Accessories","Weriver Electrical","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,5.00
Inventory,F191357,"GREASE (LOW TEMP)",HD-Fluids,"Zoburg Maintenance","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,19.00
Inventory,G6096GR-01-04,"Grease Fitting ","HD-Hose & Fittings","Nagrove Commercial","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,6.00
Inventory,G6096GR-02-04,"Grease Fitting","HD-Hose & Fittings","Nagrove Commercial","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,6.00
Inventory,G880B-06MX25M,"6mm OD Grease Line Tubing","HD-Hose & Fittings","Nagrove Commercial","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,80.00
Inventory,HYF15940,"GREASE FITTING","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,6.00
Inventory,LIN20024,"1/8"" FEMALE NPT X MALE 1/4-28 GREASE ADAPTER (9/16 HEX)","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,6.00
Inventory,"LPS C05816","Extreme Pressure Grease",HD-Fluids,"Aiboro Rentals","Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,1.00
Inventory,PCR30-3230,"GREASE FITTING 5/16 UNF STR",HD-Fasteners,—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,8.00
Inventory,PNF02850,"FITTING, GREASE","HD-Misc / Other",—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,4.00
Inventory,SHL550027558,"MULTIPURPOSE EXTREME PRESSURE GREASE",HD-Fluids,—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,3.00
Inventory,SKF12470,"WHEEL SEAL/GREASE SEALS","HD-Wheel Comp",—,"Staging Lethbridge - 4310",0.00,—,—,$0.00,$0.00,—,0,—,1.00
