internal_id,testrail_case_id,testrail_link,area,title,title_len,d1_useful,d1_tier,d1_merge_group,d1_merge_survivor,d1_reason,d1_source,d2_makes_sense,d2_reason,d3_genuine,d3_ticket,d3_layman_runnable
FLT-BAR-01,C29557,https://shopview.testrail.io/index.php?/cases/view/29557,Filter Bar Layout and Visibility,Filter bar is shown below the tab row on the Work Orders page,61,KEEP,T2,,,"Entry contract — the filter bar renders below the tabs, expanded by default; failure = the feature is invisible to every user.",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S1-R1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 61 chars (<=80)
FLT-BAR-02,C29558,https://shopview.testrail.io/index.php?/cases/view/29558,Filter Bar Layout and Visibility,"Five filter chips appear in a fixed order with an icon, name and arrow",70,KEEP,T2,MG10-ALLTAB-COMPOSITION,FLT-BAR-02,"Chip composition contract (five chips, fixed order, icons, chevrons) + design-typo watch; survivor of MG10 (gains the All-tab usability check).",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S1-R2;S1-R3 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 70 chars (<=80)
FLT-BAR-03,C29559,https://shopview.testrail.io/index.php?/cases/view/29559,Filter Bar Layout and Visibility,The filter bar still shows the other four chips on the Estimates tab,68,MERGE,T2,MG19-ESTIMATES-TAB-BAR,FLT-TAB-02,"Re-verdicted from CUT to MERGE on a fresh read: its expected 1 (the filter BAR itself does not disappear on the Estimates tab) is genuinely NOT asserted by FLT-TAB-02 = C29609, which speaks about the chips. Fold that one line into C29609 and retire this case; do not simply delete it.",re-verdicted this pass,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S1-N1;S9-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 68 chars (<=80)
FLT-STAT-01,C29560,https://shopview.testrail.io/index.php?/cases/view/29560,Status Filter,Status chip opens a checkbox list of all nine statuses plus Clear selection,75,KEEP,T2,,,Option-list contract — all nine statuses in the stated order with 'Clear selection'; a missing/misordered status is a real reportable bug.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-R1;S2-R4 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 75 chars (<=80)
FLT-STAT-02,C29561,https://shopview.testrail.io/index.php?/cases/view/29561,Status Filter,"Ticking one status filters the table immediately, with no apply button",70,KEEP,T1,,,"The headline real-time filtering contract (tick = table updates immediately, no apply button on desktop).",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-R2;S2-R3;S2-R6 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 70 chars (<=80)
FLT-STAT-03,C29562,https://shopview.testrail.io/index.php?/cases/view/29562,Status Filter,Ticking several statuses shows work orders matching any of them,63,KEEP,T1,,,"OR-within-a-filter semantics + the no-selection-limit product decision; broken = wrong results, a customer-facing data bug.",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 63 chars (<=80)
FLT-STAT-04,C29563,https://shopview.testrail.io/index.php?/cases/view/29563,Status Filter,Clear selection in the Status dropdown unticks every status,59,MERGE,T2,MG1-CLEAR-SELECTION,FLT-CHIP-05,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-R4;S8-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 59 chars (<=80)
FLT-STAT-05,C29564,https://shopview.testrail.io/index.php?/cases/view/29564,Status Filter,Clicking outside the Status dropdown closes it and keeps the selections applied,79,KEEP,T2,MG2-CLICK-OUTSIDE,FLT-STAT-05,Click-outside closes the dropdown and keeps the selection applied — the shared popover dismiss contract; survivor of MG2 (gains the other four dropdowns as repeat checks).,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-R5 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 79 chars (<=80)
FLT-STAT-06,C29565,https://shopview.testrail.io/index.php?/cases/view/29565,Status Filter,Selecting statuses that no work order has shows the empty state,63,MERGE,T2,MG3-EMPTY-STATE,FLT-EMPTY-01,Absorbed into FLT-EMPTY-01 (C29606): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-N3;S8-R3 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 63 chars (<=80)
FLT-COLL-01,C29601,https://shopview.testrail.io/index.php?/cases/view/29601,Collapse and Expand,The toolbar funnel button collapses the bar and the table takes the space,73,KEEP,T2,MG4-COLLAPSE-EXPAND,FLT-COLL-01,The collapse/expand funnel toggle round trip incl. table reclaiming space; survivor of MG4 (gains the expand-restores-filters half).,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S1-R4;S1-R5 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 73 chars (<=80)
