internal_id,testrail_case_id,testrail_link,report,section,title,verdict,reason,merge_group,merge_survivor,sense_verdict,sense_reason,contradiction_group,contradiction_counterparts,contradiction_resolution,genuine_refs_ok,layman_runnable,layman_note,status_ledger,status_note,type,api_related
IV-API-01,C30605,https://shopview.testrail.io/index.php?/cases/view/30605,IV,IV — API,Nightly snapshot records one row per in-stock non-core part per location,KEEP,Capture-job data contract: one row per in-stock non-core part per location per day; a failure silently corrupts all history.,,,SENSIBLE,Honest hedge: precondition 3 names the dev-arranged inspection route rather than inventing an endpoint.,,,,Y,TECHNICAL,Needs backend/DB access; correctly placed in an API-titled section (Rule 4).,EXTERNAL-DEPENDENCY,,Functional,True
IV-API-02,C30606,https://shopview.testrail.io/index.php?/cases/view/30606,IV,IV — API,A recorded snapshot day equals what the live report showed that day,KEEP,The load-bearing equivalence contract: a recorded day equals what the live report showed that day.,,,SENSIBLE,Coherent multi-day sequence; scope and valuation reuse is stated.,,,,Y,TECHNICAL,Needs backend/DB access plus a two-day window; API section.,EXTERNAL-DEPENDENCY,,Functional,True
IV-API-03,C30607,https://shopview.testrail.io/index.php?/cases/view/30607,IV,IV — API,Nightly snapshot: re-running the capture for a date replaces that date's rows,WEAK-KEEP,Re-run idempotency is real but only observable with DB access and a dev-triggered re-run - low value for manual QA.,,,SENSIBLE,Steps are executable given the stated dev arrangement.,,,,Y,TECHNICAL,Needs dev to re-run the job; API section.,EXTERNAL-DEPENDENCY,,Functional,True
IV-API-05,C30609,https://shopview.testrail.io/index.php?/cases/view/30609,IV,IV — API,Snapshot retention: daily captures are kept for 0–13 months,WEAK-KEEP,"Retention/pruning is real but unverifiable without dev-aged history, and the 13-month band is owner-decided per the case's own note.",,,SENSIBLE,Precondition 1 hedges the seeding honestly.,,,,Y,TECHNICAL,Needs dev-seeded aged history; API section.,EXTERNAL-DEPENDENCY,,Functional,True
IV-API-06,C30610,https://shopview.testrail.io/index.php?/cases/view/30610,IV,IV — API,Thinned history still served by the closest-recorded-day rule,KEEP,"As-of resolution across the thinned-retention boundary - a distinct edge of the closest-recorded-day contract, not covered by IV-DATE-04.",,,SENSIBLE,Steps executable once aged history exists.,,,,Y,TECHNICAL,Needs dev-seeded aged history; API section.,EXTERNAL-DEPENDENCY,,Functional,True
IV-CALC-01,C30545,https://shopview.testrail.io/index.php?/cases/view/30545,IV,IV — Valuation & Columns,Unit Sell uses the part's fixed sell price when one is set,KEEP,"Calculation contract, step 1 of the sell-price fallback chain; a failure is a customer-facing valuation bug.",,,SENSIBLE,"Clear comparison, concrete pass criterion.",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-CALC-02,C30546,https://shopview.testrail.io/index.php?/cases/view/30546,IV,IV — Valuation & Columns,With no fixed sell price Unit Sell is the category's pricing-matrix markup,KEEP,"Calculation contract, step 2 of the fallback chain (category matrix markup).",,,SENSIBLE,Clear.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-CALC-03,C30547,https://shopview.testrail.io/index.php?/cases/view/30547,IV,IV — Valuation & Columns,"With no fixed sell price and no category, Unit Sell equals Unit Cost",KEEP,"Calculation contract, step 3 of the fallback chain (the cost floor) - the branch that protects against a null-markup crash.",,,FIX-WORDING,"Precondition 2 asks for a part with ""NO category"" but the build cannot save one (POST /api/inventory/parts/create requires category_id; 0 of 5,657 rows blank). IV-COL-05 already carries the plain tester note for exactly this; this case does not. Add the same note.",,,,Y,OK,Reachable as written only if the product ever allows a category-less part.,EXTERNAL-DEPENDENCY,,Functional,False
IV-CALC-04,C30548,https://shopview.testrail.io/index.php?/cases/view/30548,IV,IV — Valuation & Columns,Total Sell is quantity × Unit Sell and Total Cost is quantity × Unit Cost,KEEP,Calculation contract: Total Sell/Total Cost = qty x unit.,,,SENSIBLE,Recomputable by hand; concrete.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-CALC-05,C30549,https://shopview.testrail.io/index.php?/cases/view/30549,IV,IV — Valuation & Columns,Margin is Total Sell minus Total Cost for the whole on-hand quantity,KEEP,"Calculation contract: extended (not per-unit) margin, and step 3 explicitly guards the per-unit confusion.",,,SENSIBLE,Both halves recomputable.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-CALC-06,C30550,https://shopview.testrail.io/index.php?/cases/view/30550,IV,IV — Valuation & Columns,Margin % is Margin over Total Sell to one decimal; em-dash when Sell <= 0,KEEP,Calculation contract plus the undefined-percentage branch.,,,SENSIBLE,"Worked example given (""39.7%""); the em-dash branch is hedged ""if one exists"".",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-COL-01,C30551,https://shopview.testrail.io/index.php?/cases/view/30551,IV,IV — Valuation & Columns,With every column on they appear in the fixed order with the set alignment,KEEP,Column order and alignment contract for the whole grid.,,,FIX-WORDING,"Expected 4 states Location appears ""when it is turned on"" in the column-selection control, but the live build was observed to place Location automatically by scope; the mechanism half of the sentence needs aligning to the observation. The closed list itself is fine - it is scope-conditioned and version-pinned (Rule 42 satisfied).",,,,Y,OK,,DEVIATION,,Functional,False
IV-COL-02,C30552,https://shopview.testrail.io/index.php?/cases/view/30552,IV,IV — Valuation & Columns,Value formats: Qty to two decimals; money as US-dollar currency,KEEP,Number/currency formatting contract including the negative and genuine-zero branches.,,,FIX-WORDING,"Title and expected 1 say ""Qty"" which matches the build, but the spec term ""Qty on Hand"" is still used in the refs anchor; the live header is ""Qty"". Reword nothing tester-facing; the deviation is the spec's, not the case's - state that in the notes.",,,,Y,OK,,DEVIATION,,Functional,False
IV-COL-03,C30553,https://shopview.testrail.io/index.php?/cases/view/30553,IV,IV — Valuation & Columns,Total Cost is bold and pinned far right; it stays put on sideways scroll,KEEP,Pinned/bold headline-column contract; a failure loses the report's headline number on scroll.,,,SENSIBLE,Executable in two steps.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-COL-04,C30554,https://shopview.testrail.io/index.php?/cases/view/30554,IV,IV — Valuation & Columns,On a first visit the default columns show and the rest stay available,KEEP,First-visit default column set - the contract the build was observed to break (all 12 columns render).,,,FIX-WORDING,"Expected 4 has the same ""when it is turned on"" mechanism problem as IV-COL-01 against the observed automatic-by-scope behaviour.",,,,Y,OK,,DEVIATION,,Functional,False
IV-COL-05,C30555,https://shopview.testrail.io/index.php?/cases/view/30555,IV,IV — Valuation & Columns,"Category and Vendor show their names; an em dash (""—"") when the part has none",KEEP,"Empty-value rendering contract for two independent lookups (category, vendor).",,,SENSIBLE,Expected 4 already carries the plain tester note that the category half is not producible on this build - the honest pattern.,,,,Y,OK,,DEVIATION,,Functional,False
IV-DATE-01,C30561,https://shopview.testrail.io/index.php?/cases/view/30561,IV,IV — As-of Date & Snapshots,Date range offers the standard presets plus Custom; no All Time option,KEEP,"The preset list plus the deliberate absence of All Time - the build was observed to offer a different list, so this case earns its place.",,,FIX-WORDING,"Expected 1 closes the preset list with no version-pinned anchor in refs (refs is ""SV-8672 (specs/inventory-value.md Story 5 S5-R1...)"" - an unversioned path). Rule 42/F7: pin the spec version or write it scope-conditionally.",,,,Y,OK,,DEVIATION,,Functional,False
IV-DATE-02,C30562,https://shopview.testrail.io/index.php?/cases/view/30562,IV,IV — As-of Date & Snapshots,The report values inventory as of the END of the selected range,KEEP,"The as-of anchor semantics - the single most important behaviour of this report, and the build is one day off.",,,SENSIBLE,Clear and executable.,,,,Y,OK,,DEVIATION,,Functional,False
IV-DATE-03,C30563,https://shopview.testrail.io/index.php?/cases/view/30563,IV,IV — As-of Date & Snapshots,A window reaching today with today not yet recorded values live stock,KEEP,The live-fallback branch for today.,,,SENSIBLE,Preconditions state the normal daytime state honestly.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-DATE-04,C30564,https://shopview.testrail.io/index.php?/cases/view/30564,IV,IV — As-of Date & Snapshots,For a past date the report replays the closest recorded day on or before it,KEEP,The closest-recorded-day-on-or-before contract; the observed off-by-one makes this load-bearing.,,,FIX-WORDING,"Step 1 says ""Select a Custom range"" but the build has no Custom item - the range is made on an inline calendar (IV-DATE-06 already says so). Align the step wording.",,,,Y,OK,,DEVIATION,,Functional,False
IV-DATE-05,C30565,https://shopview.testrail.io/index.php?/cases/view/30565,IV,IV — As-of Date & Snapshots,"""As of"" indicator names the day shown; hidden when it matches the ask",KEEP,"Two-branch contract for the As of indicator (shown on fallback, hidden when it matches).",,,SENSIBLE,Both branches drivable; the wording is hedged as VIU-confirm.,,,,Y,OK,,DEVIATION,,Functional,False
IV-DATE-06,C30566,https://shopview.testrail.io/index.php?/cases/view/30566,IV,IV — As-of Date & Snapshots,A Custom range values stock as of the picked end date; capped at today,KEEP,Custom-range picking plus the future-date cap.,,,SENSIBLE,"Step 1 already corrects itself in-line (""there is no separate Custom item to choose"") - a cold tester can follow it.",,,,Y,OK,,DEVIATION,,Functional,False
IV-DATE-08,C30568,https://shopview.testrail.io/index.php?/cases/view/30568,IV,IV — As-of Date & Snapshots,History accrues forward only; a pre-first-recording date is not shown,KEEP,"The forward-only history boundary, explicitly marked do-not-file.",,,SENSIBLE,"Two steps, clear pass.",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-DATE-09,C38892,https://shopview.testrail.io/index.php?/cases/view/38892,IV,IV — As-of Date & Snapshots,A recorded day keeps its category and vendor names after a rename or delete,KEEP,History-integrity contract: recorded rows survive a category/vendor rename or delete. A failure corrupts past reporting.,,,SENSIBLE,Executable once history is more than a day or two deep.,,,,Y,OK,Needs a recorded day older than the rename; not seedable today.,EXTERNAL-DEPENDENCY,,Functional,False
IV-EXP-01,C30587,https://shopview.testrail.io/index.php?/cases/view/30587,IV,IV — Exports,Inventory Value: a three-dot menu holds Download (PDF) and Download (CSV),KEEP,The export entry point and its two verbatim labels.,,,SENSIBLE,"Three steps, verbatim labels.",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-EXP-02,C30588,https://shopview.testrail.io/index.php?/cases/view/30588,IV,IV — Exports,"Downloads keep shown columns and order, honor filters, and include Totals",KEEP,The export-reflects-filters contract - the one export contract worth a case - plus the Totals row and the Locations line.,,,SENSIBLE,Expected 5 carries the plain tester note; the Locations-line placement is hedged as build-confirmed.,,,,Y,OK,,DEVIATION,,Functional,False
IV-EXP-03,C30589,https://shopview.testrail.io/index.php?/cases/view/30589,IV,IV — Exports,Export number formats: money to 2 decimals; Margin % to 1 with em-dash,KEEP,Export number-format contract; the build was observed to refute the CSV plain-number half.,,,SENSIBLE,Steps name the tool (a plain-text editor) so the check is concrete.,,,,Y,OK,,DEVIATION,,Functional,False
IV-EXP-04,C30590,https://shopview.testrail.io/index.php?/cases/view/30590,IV,IV — Exports,PDF header shows report name; org; period and an as-of line; logo if set,KEEP,PDF header contract (four elements) plus the CSV-never-has-a-logo negative.,,,SENSIBLE,Expected 4 pre-empts the PDF/CSV phrasing difference for the tester.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-EXP-05,C30591,https://shopview.testrail.io/index.php?/cases/view/30591,IV,IV — Exports,Downloaded files are named inventory-value-report.pdf and .csv,KEEP,"Verbatim file names - closed list that IS the requirement, and the notes say so citing S10-R10 and the spec version.",,,SENSIBLE,Rule 42 satisfied: the closed list is the requirement and is version-pinned in refs.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-EXP-06,C30592,https://shopview.testrail.io/index.php?/cases/view/30592,IV,IV — Exports,Exports are generated server-side over the full filtered set,KEEP,Server-side full-filtered-set export contract - a failure means customers export the wrong numbers.,,,SENSIBLE,"Step 1 pins the discriminating condition (from page 1, without visiting later pages).",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-EXP-07,C30593,https://shopview.testrail.io/index.php?/cases/view/30593,IV,IV — Exports,An over-cap set produces no file and shows the too-large-to-export message,KEEP,"The polite over-cap refusal, with its verbatim message - the negative half of the export contract.",,,SENSIBLE,Expected 4 carries the honest tester note that the cap is unreachable on this estate and distinguishes it from the timeout.,,,,Y,OK,,EXTERNAL-DEPENDENCY,,Negative,False
