"Locations: All locations"
Type,"Part #",Description,Category,Vendor,Location,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
"Special Order",SUBLET,"Programming, CPC","HD-Tires & Rims","Zocrest Paving",Multiple,44.00,3.00,44.00,0.00,$537.64,$669.93,"$29,477.09","$5,820.81",19.8%,44,"52 days",—,—,—,—
"Special Order",FREIGHT,Freight,HD-Freight,"Xistone Consulting",Multiple,13.00,3.00,12.00,1.00,$80.02,$97.35,"$1,265.50",$225.25,17.8%,13,"52 days",—,—,—,—
"Special Order",'--,"Windshield replacement",Uncategorized,"Obrook Electrical","Staging Lethbridge - 4310",7.00,0.00,7.00,0.00,$394.29,$449.98,"$3,149.86",$389.81,12.4%,7,"60 days",—,—,—,—
"Special Order",SSR922,"Air Disc Brake Rotor","HD-Air Brakes & Air Suspension","Zoburg Maintenance","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$216.35,$340.77,"$1,363.08",$497.68,36.5%,4,"68 days",—,—,—,—
"Special Order",01010-81635,Bolt,HD-Fasteners,"Wamont Hauling","Staging Heavy Duty - 9919",7.00,0.00,7.00,0.00,$13.14,$25.27,$176.89,$84.91,48.0%,3,"56 days",—,—,—,—
"Special Order",01643-31645,Washer,HD-Fasteners,"Wamont Hauling","Staging Heavy Duty - 9919",7.00,0.00,7.00,0.00,$3.55,$7.10,$49.70,$24.85,50.0%,3,"56 days",—,—,—,—
"Special Order",238410,"LT235/65R16 E Toyo Celsius Cargo","AUTO-Tires & Wheels","Fuview Retail","Staging Lethbridge - 4310",12.00,0.00,12.00,0.00,$231.33,$301.33,"$3,615.96",$840.00,23.2%,3,"60 days",—,—,—,—
"Special Order",361-636K,"U BOLT KIT","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",6.00,0.00,6.00,0.00,$85.35,$137.66,$825.96,$313.86,38.0%,3,"3 days",—,—,—,—
"Special Order",610-783.1,"Rear wheel stud","AUTO-Tires & Wheels","Yahall Energy","Staging Heavy Duty - 9919",16.00,2.00,0.00,16.00,$11.89,$14.62,$233.88,$43.64,18.7%,3,"67 days",—,—,—,—
"Special Order",AM5Z*17218B08*A,"Outer Door Handle Bezel, Passenger Side ",AUTO-Body,"Uitown Industries","Staging Lethbridge - 4310",2.00,1.00,2.00,0.00,$23.52,$16.34,$32.67,-$14.37,-44.0%,3,"63 days",—,—,—,—
"Special Order","CV6Z 5422042 B",Pad,AUTO-Body,"Uitown Industries","Staging Lethbridge - 4310",3.00,0.00,3.00,0.00,$6.06,$5.61,$16.84,-$1.34,-8.0%,3,"63 days",—,—,—,—
"Special Order",CV6Z*5422042*A,Pad,AUTO-Body,"Uitown Industries","Staging Lethbridge - 4310",3.00,0.00,3.00,0.00,$5.92,$5.48,$16.45,-$1.31,-8.0%,3,"63 days",—,—,—,—
"Special Order",CWB-8864,"Air Spring","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",3.00,0.00,3.00,0.00,$105.53,$141.61,$424.83,$108.24,25.5%,3,"68 days",—,—,—,—
"Special Order",HTR2951A,"6mm Upper Guide Block, 1st/2nd Extension","HD-Equipment & Hydraulics","Oachester Apparel","Staging Heavy Duty - 9919",2.00,1.00,2.00,0.00,$71.35,$120.93,$241.86,$99.16,41.0%,3,"67 days",—,—,—,—
"Special Order",POI866892C,"5W20 FULL SYNTHETIC 4.73L, GASOLINE ENGINE OIL",HD-Fluids,"Baplains Solutions","Staging Heavy Duty - 9919",3.00,0.00,3.00,0.00,$29.23,$41.76,$125.28,$37.59,30.0%,3,"53 days",—,—,—,—
"Special Order",1,"Tube: DEF w/Heater",AUTO-Exhaust,"Kacrest Beverages","Staging Lethbridge - 4310",2.00,0.00,2.00,0.00,$130.36,$185.74,$371.48,$110.77,29.8%,2,"60 days",—,—,—,—
"Special Order",1227Z936,"Yoke Nut","HD-Drive Train","Ruridge Mining","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$10.82,$22.53,$45.06,$23.43,52.0%,2,"55 days",—,—,—,—
"Special Order",19432449,"5W30 Engine Oil, Syn. 4.73L",StaffPartsPricing,"Yahall Energy","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$38.24,$48.73,$194.92,$41.96,21.5%,2,"53 days",—,—,—,—
"Special Order",21-12011-1,"Hubcap Kit","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$25.59,$45.70,$182.80,$80.44,44.0%,2,"66 days",—,—,—,—
"Special Order",21060S/4.30CQ,"Differential, Dana GT-Coach 41SPL","HD-Drive Train","Tofalls Forestry","Staging Lethbridge - 4310",1.00,1.00,1.00,0.00,"$3,229.45","$4,087.84","$4,087.84",$858.39,21.0%,2,"69 days",—,—,—,—
"Special Order",25580,"TRAILER WHEEL BEARING (RT4080)","HD-Trailer Brake Comp","Zoburg Maintenance","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$26.30,$43.83,$175.32,$70.12,40.0%,2,"66 days",—,—,—,—
"Special Order",27438,"Hub Seal","HD-Trailer Brake Comp","Zoburg Maintenance","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$31.80,$55.30,$221.20,$94.00,42.5%,2,"66 days",—,—,—,—
"Special Order",28580,"Inner Wheel Bearing","HD-Trailer Brake Comp","Zoburg Maintenance","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$79.74,$121.05,$484.20,$165.26,34.1%,2,"66 days",—,—,—,—
"Special Order",3999820,"Crankcase Breather Filter Gasket","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$22.97,$38.28,$76.55,$30.62,40.0%,2,"54 days",—,—,—,—
"Special Order",4738-L,"LH Brake Backing Plate","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$90.80,$146.45,$292.90,$111.30,38.0%,2,"66 days",—,—,—,—
"Special Order",4738-R,"RH Brake Backing Plate","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$90.80,$146.45,$292.90,$111.30,38.0%,2,"66 days",—,—,—,—
"Special Order",5367847,"Valve Cover Gasket with Injector Harness","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$274.53,$402.27,$804.53,$255.48,31.8%,2,"54 days",—,—,—,—
"Special Order",6207,"Trailer Bearing Kit","HD-Trailer Brake Comp","Aiboro Rentals","Staging Heavy Duty - 9919",0.00,2.00,0.00,0.00,—,—,$0.00,$0.00,—,2,"67 days",—,—,—,—
