internal_id,proposed_testrail_case_id,title
GS-KEY-01,44804,Open the global search palette with the keyboard shortcut (K / Cmd+K)
GS-KEY-02,44805,Open the global search palette by clicking the header search field
GS-KEY-03,44806,Close the palette with the Esc key
GS-KEY-04,44807,Toggle the palette closed by pressing the shortcut again (Cmd+K)
GS-KEY-05,44808,Close the palette by clicking the dimmed page behind it
GS-KEY-06,44809,"Move through result rows with the Up and Down arrow keys, skipping group headers"
GS-KEY-07,44810,Open the highlighted result in the same tab by pressing Enter
GS-KEY-08,44811,Open the highlighted result in a new browser tab with Cmd+Enter (Ctrl+Enter)
GS-KEY-09,44812,"Move focus to the scope tab strip with Tab, then cycle tabs with Left and Right arrows"
GS-KEY-10,44813,The keyboard shortcut legend stays visible in the footer at all times
GS-TAB-01,44814,The scope tab strip lists All plus the six entity tabs in the exact order
GS-TAB-02,44815,The 'All' tab shows results from every entity group together
GS-TAB-03,44816,The 'Work Orders' tab shows only Work Order results
GS-TAB-04,44817,The 'Customers' tab shows only Customer results
GS-TAB-05,44818,The 'Assets' tab shows only Asset (vehicle) results
GS-TAB-06,44819,The 'Parts' tab shows only Part (inventory) results
GS-TAB-07,44820,The 'Vendors' tab shows only Vendor results
GS-TAB-08,44821,The 'Part Sales' tab shows only Part Sales results
GS-GRP-01,44823,Each result group shows a heading with the total match count
GS-GRP-02,44824,A group shows up to five results (raised from three)
GS-GRP-03,44825,A 'Show all N' link appears when a group has more matches than are shown
GS-GRP-04,44826,Clicking 'Show all N' switches the palette into that entity's scope tab
GS-GRP-05,44827,"Groups appear in the fixed order Work Orders, Customers, Assets, Parts, Vendors, Part Sales"
GS-GRP-06,44828,The typed text is highlighted inside each matching result
GS-GRP-07,44829,A screen reader announces the results count when it changes
GS-ENT-01,44831,"A Work Order result shows number, customer, status badge, assignee and date"
GS-ENT-02,44832,"A Customer result shows name, address and an open work-order count chip"
GS-ENT-03,44833,An Asset result shows year/make/model and the owning customer
GS-ENT-04,44834,"A Part result shows description, part number and a quantity chip colored by stock level"
GS-ENT-05,44835,A Vendor result shows the vendor name and address
GS-ENT-06,44836,"A Part Sale result shows the P-number, customer, status badge, total price and date"
