Test ID,Test Case Title,Feature / Area,Priority,Preconditions,Steps to Reproduce (Manual),Expected Result,Actual Result (Observed),Status Rationale,Severity/Status,References (Jira),Spec / Requirement Reference
CB-REP-001,"Representative: Read-only Front Desk role — view WO/Customers/Schedule, no edits, no financials",Combination (Representative),High,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Read-only Front Desk'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable only Work Orders > View, Customers > View, Schedule > View. Leave all else OFF.
3. Save the role, then go Administration > Staff > open the test user > assign role 'Read-only Front Desk' > Create.
4. In a separate browser, log in as the test staff user.
5. POSITIVE: Open Work Orders, Customers, and Schedule from nav.
6. POSITIVE: Attempt to find create/edit/delete controls in WO, Customers, Schedule.
7. NEGATIVE (aggregate): Check nav for Invoicing, Parts, Catalog, Vendor, Reports, Timesheets, History Logs, Administration, and any financial figures.","User can only view Work Orders, Customers, and Schedule. All other areas hidden, no edit capability, no financial data visible. Access equals exactly the granted union.","Tech effective permissions EXACTLY match the combined set (4 codes incl. view-mode marker). Granted: Customers View, Schedule View, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Work Orders, Customers, Schedule)","SV-7500, SV-7388 (Work Orders, Customers, Schedule) · WO View + Customers View + Schedule View, no create/edit/delete, financials OFF"
CB-REP-002,"Representative: Scheduler role — full Schedule CRUD + WO/Customers view, no financials",Combination (Representative),High,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Scheduler'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Schedule > Delete.
3. Enable Work Orders > View and Customers > View. Leave all else OFF.
4. Save the role, then go Administration > Staff > open the test user > assign role 'Scheduler' > Create.
5. In a separate browser, log in as the test staff user.
6. POSITIVE: Open Schedule; create, edit, and delete a schedule entry.
7. POSITIVE: Open Work Orders and Customers.
8. NEGATIVE (aggregate): Attempt to edit a WO or customer; check nav for Invoicing/Parts/Reports/Timesheets/History/Admin and any financials.",Scheduler can fully manage Schedule and view WO/Customers only. Delete-triggered cascade left Schedule Edit+View ON. No financial or other areas accessible.,"Tech effective permissions EXACTLY match the combined set (6 codes incl. view-mode marker). Granted: Customers View, Schedule Edit, Schedule Delete, Schedule View, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Schedule, Work Orders, Customers)","SV-7500, SV-7388 (Schedule, Work Orders, Customers) · Schedule V/E/D + WO View + Customers View, nothing financial"
CB-REP-003,"Representative: Junior Tech (Tech View) — WO view, WO Lines edit, Pick Parts, no financials",Combination (Representative),High,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Junior Tech'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Work Orders > View (required for WO sub-settings).
3. Enable Work Order Lines > Edit.
4. Enable WO sub-setting Pick Parts; set View Mode = Tech View. Leave Review, Order, WO Lines Delete OFF.
5. Save the role, then go Administration > Staff > open the test user > assign role 'Junior Tech' > Create.
6. In a separate browser, log in as the test staff user.
7. POSITIVE: Open a work order and confirm the Tech View presentation INSIDE the WO detail page (the WO list looks the same in Tech vs Full view — the difference is on the WO detail). View lines, edit a line, and use Pick Parts (Pick Parts lives inside the WO detail).
8. NEGATIVE (aggregate): Attempt to edit the WO header, delete a line, use Review/Order actions; check nav for Invoicing/Customers/Schedule/Reports/Parts and financials.","Junior Tech in Tech View can view WOs, edit lines, and pick parts only. WO Lines Edit cascaded View ON. No header edit, no delete, no financials/other areas.","Tech effective permissions EXACTLY match the combined set (4 codes incl. view-mode marker). Granted: Pick Parts, WO Lines Edit, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=tech. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Work Orders, WO Lines, WO sub-settings, View Mode)","SV-7500, SV-7388 (Work Orders, WO Lines, WO sub-settings, View Mode) · WO View + WO Lines Edit + Pick Parts + Tech View, financials OFF"
CB-REP-004,"Representative: Parts-only clerk — Parts Dept + Catalog V/E + Vendor V + Part Sales V, financials ON",Combination (Representative),High,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Parts-only clerk'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Parts Department (parent) first.
3. Enable Catalog > Edit.
4. Enable Vendor > View.
5. Enable Part Sales > View.
6. Confirm See Financial Data is ON and no other CRUD is enabled.
7. Save the role, then go Administration > Staff > open the test user > assign role 'Parts-only clerk' > Create.
8. In a separate browser, log in as the test staff user.
9. POSITIVE: Open Parts Department; view/edit Catalog items; view Vendors; view Part Sales (with financial figures).
10. NEGATIVE (aggregate): Attempt to edit a Vendor or a Part Sale; check nav for Work Orders, Schedule, Invoicing, Reports, Administration.","Clerk can manage Catalog (V/E), view Vendor and Part Sales with financials. Parent gate (Parts Dept) enabled children; financial modal enabled See Financial Data. No WO/Schedule/Invoicing/other.","Tech effective permissions EXACTLY match the combined set (6 codes incl. view-mode marker). Granted: Catalog Edit, Catalog View, Part Sales View, Financial, Vendor View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Parts Department, Catalog, Vendor, Part Sales, Financial gate, Parent gate)","SV-7500, SV-7388 (Parts Department, Catalog, Vendor, Part Sales, Financial gate, Parent gate) · Parts Department ON + Catalog V/E + Vendor V + Part Sales V, See Financial Data ON, no WO/Schedule"
CB-REP-005,"Representative: Cashier/Invoicing — WO View + Invoicing V/E + Financial ON, no AP/AR, no delete",Combination (Representative),Critical,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Cashier'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Work Orders > View.
3. Enable Invoicing > Edit.
4. Confirm Invoicing Delete and View and Manage AP/AR Data remain OFF.
5. Save the role, then go Administration > Staff > open the test user > assign role 'Cashier' > Create.
6. In a separate browser, log in as the test staff user.
7. POSITIVE: Open a work order (view), open Invoicing, create/edit an invoice, view financial totals INSIDE the WO detail / invoicing screen (financial figures are not on the WO list).
8. NEGATIVE (aggregate): Attempt to delete an invoice; look for AP/AR actions; edit a WO; check nav for Customers/Schedule/Parts/Reports/Administration.","Cashier can view WOs and view/edit invoices with financial data. Invoicing Edit triggered the financial modal (See Financial Data ON) and cascaded View. No delete, no AP/AR, no other areas.","Tech effective permissions EXACTLY match the combined set (5 codes incl. view-mode marker). Granted: Invoicing Edit, Invoicing View, Financial, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Work Orders, Invoicing, Financial gate)","SV-7500, SV-7388 (Work Orders, Invoicing, Financial gate) · WO View + Invoicing View/Edit + See Financial Data ON, AP/AR OFF, no delete · VIU-11: Trigger on enabling Part Sales/Invoicing CRUD while See Financial Data OFF; text '[Area] requires ""See Financial Data"" to be enabled. Enable it?';…"
CB-REP-006,"Representative: Reports-only analyst — Reports ON + Financial ON + AP/AR ON, all CRUD OFF",Combination (Representative),Medium,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Reports-only analyst'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Reports.
3. Enable See Financial Data and View and Manage AP/AR Data.
4. Save the role, then go Administration > Staff > open the test user > assign role 'Reports-only analyst' > Create.
5. In a separate browser, log in as the test staff user.
6. POSITIVE: Open Reports; view financial-inclusive and AP/AR reports.
7. NEGATIVE (aggregate): Check nav for Work Orders, Customers, Schedule, Invoicing, Parts, Administration; attempt any create/edit.","Analyst can only open Reports (with financial + AP/AR data). No operational CRUD, no other nav. Reports is all-or-nothing so the whole reporting area is available.","Tech effective permissions EXACTLY match the combined set (4 codes incl. view-mode marker). Granted: Reports, AP/AR, Financial. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Reports, Financial, AP/AR)","SV-7500, SV-7388 (Reports, Financial, AP/AR) · Reports ON + See Financial Data ON + View and Manage AP/AR Data ON, all operational CRUD OFF"
CB-REP-007,"Representative: Service writer (no AP/AR) — broad V/E across WO/Lines/Customers/Schedule/Invoicing, Financial ON",Combination (Representative),Critical,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Service writer'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Work Orders > Edit.
3. Enable Work Order Lines > Delete.
4. Enable Customers > Edit and Schedule > Edit.
5. Enable Invoicing > Edit.
6. Enable WO sub-settings Review, Pick Parts, Order. Confirm all Delete toggles except WO Lines are OFF and View and Manage AP/AR Data OFF.
7. Save the role, then go Administration > Staff > open the test user > assign role 'Service writer' > Create.
8. In a separate browser, log in as the test staff user.
9. POSITIVE: Create/edit a WO; edit and delete WO lines; use Review/Pick/Order; edit customer and schedule; view/edit an invoice with financials.
10. NEGATIVE (aggregate): Attempt to delete a WO/customer/schedule/invoice; look for AP/AR actions; check nav for Parts, Reports, Administration.","Service writer has broad V/E plus WO Lines delete, all WO sub-settings, and financial invoicing without AP/AR. Deletes elsewhere blocked. Financial modal enabled See Financial Data during setup.","Tech effective permissions EXACTLY match the combined set (15 codes incl. view-mode marker). Granted: Customers Edit, Customers View, Invoicing Edit, Invoicing View, Schedule Edit, Schedule View, Financial, Order Parts, Pick Parts, Review, WO Lines Edit, WO Lines Delete, WO Edit, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Work Orders, WO Lines, Customers, Schedule, Invoicing, WO sub-settings, Financial gate)","SV-7500, SV-7388 (Work Orders, WO Lines, Customers, Schedule, Invoicing, WO sub-settings, Financial gate) · WO V/E, WO Lines V/E/D, Customers V/E, Schedule V/E, Invoicing V/E, Review/Pick/Order ON, Financial ON, AP/AR OFF"
CB-REP-008,"Representative: Shop manager minus deletes — broad V/E, no Delete anywhere, Financial + AP/AR ON",Combination (Representative),Critical,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Shop manager (no deletes)'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Parts Department (parent), then Work Orders > Edit.
3. Enable Edit on WO Lines, Customers, Schedule, Catalog, Vendor.
4. Enable Invoicing > Edit and Part Sales > Edit.
5. Enable WO sub-settings Review/Pick Parts/Order, View and Manage AP/AR Data, and Reports. Verify NO Delete toggle is ON anywhere.
6. Save the role, then go Administration > Staff > open the test user > assign role 'Shop manager (no deletes)' > Create.
7. In a separate browser, log in as the test staff user.
8. POSITIVE: View/edit across WO, WO Lines, Customers, Schedule, Invoicing, Catalog, Vendor, Part Sales; use WO sub-settings; open Reports; view financial + AP/AR data.
9. NEGATIVE (aggregate): In every area, attempt Delete; check nav for Timesheets, History Logs, Administration.","Manager has broad view/edit plus Reports/financial/AP/AR, but Delete is unavailable everywhere. Parent gate + financial modals + cascades applied during setup. Timesheets/History/Admin hidden.","Tech effective permissions EXACTLY match the combined set (22 codes incl. view-mode marker). Granted: Catalog Edit, Catalog View, Customers Edit, Customers View, Invoicing Edit, Invoicing View, Part Sales Edit, Part Sales View, Reports, Schedule Edit, Schedule View, AP/AR, Financial, Vendor Edit, Vendor View, Order Parts, Pick Parts, Review, WO Lines Edit, WO Edit, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (WO, WO Lines, Customers, Schedule, Invoicing, Parts, Catalog, Vendor, Part Sales, Reports)","SV-7500, SV-7388 (WO, WO Lines, Customers, Schedule, Invoicing, Parts, Catalog, Vendor, Part Sales, Reports) · Broad View+Edit across areas, NO Delete anywhere, See Financial Data ON, View and Manage AP/AR Data ON"
CB-REP-009,"Representative: Timekeeper — Timesheets V/E + WO View, no financials",Combination (Representative),Medium,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Timekeeper'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Timesheets > Edit.
3. Enable Work Orders > View. Leave all else OFF.
4. Save the role, then go Administration > Staff > open the test user > assign role 'Timekeeper' > Create.
5. In a separate browser, log in as the test staff user.
6. POSITIVE: Open Timesheets; view and edit entries. Open a Work Order (view).
7. NEGATIVE (aggregate): Attempt to delete a timesheet or edit a WO; check nav for Invoicing/Customers/Schedule/Parts/Reports/Administration and any financials.","Timekeeper can view/edit timesheets and view WOs only. Timesheets Edit cascaded View. No delete, no financials, no other areas.","Tech effective permissions EXACTLY match the combined set (4 codes incl. view-mode marker). Granted: Timesheets Edit, Timesheets View, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Timesheets, Work Orders)","SV-7500, SV-7388 (Timesheets, Work Orders) · Timesheets View/Edit + WO View, financials OFF"
CB-REP-010,"Representative: Auditor — read-only across WO/Invoicing/History + Reports + Financial, no edits",Combination (Representative),Medium,"Logged in as an Administrator with full access. Application is on the Custom Roles & Permissions build (Epic SV-7388, SV-7500 enabled). At least one test staff member exists to receive the role. A second browser/session is available to log in as the test staff user. NOTE (permission propagation): after assigning the role, log out and log back in as the user (fresh login) so the new permissions load; allow a brief settle before verifying.","1. Navigate Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. Start from a blank/minimal baseline (all toggles OFF). Name the role 'Auditor'. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Invoicing > View.
3. Enable Work Orders > View, History Logs, Reports, View and Manage AP/AR Data.
4. Save the role, then go Administration > Staff > open the test user > assign role 'Auditor' > Create.
5. In a separate browser, log in as the test staff user.
6. POSITIVE: View WOs and invoices (with financial totals); open History Logs and Reports (with AP/AR data).
7. NEGATIVE (aggregate): Attempt any edit/delete; check nav for Customers/Schedule/Parts/Timesheets/Administration.","Auditor has read-only WO/Invoicing plus History Logs and Reports with financial+AP/AR data. Invoicing View triggered the financial modal. No edits/deletes, no other areas.","Tech effective permissions EXACTLY match the combined set (7 codes incl. view-mode marker). Granted: Invoicing View, Reports, AP/AR, Financial, History Logs, WO View. No extra/leaked areas; ungranted areas absent.","Actual behavior matched the expected result (actual == expected). PUT 200, assign 201, stored view_mode=full. Effective set equals stored role set (backend has no server-side cascade; UI cascade/gate pre-resolved into the PUT set, confirmed in prior VIU). fe-permissions verified as Tech via dev-login.",Passed,"SV-7500, SV-7388 (Work Orders, Invoicing, History Logs, Reports, Financial gate)","SV-7500, SV-7388 (Work Orders, Invoicing, History Logs, Reports, Financial gate) · WO View + Invoicing View + History Logs ON + Reports ON + See Financial Data ON, no edits/deletes, AP/AR ON · VIU-11: Trigger on enabling Part Sales/Invoicing CRUD while See Financial Data OFF; text '[Area] requires ""See Financial Data"" to be enabled. Enable it?';…"
