internal_id,testrail_case_id,title,section,refs
DINV-CAP-01,C44506,"Note-required option on checkbox and per-axle fields, on by default",Capturing Findings,SV-9099 (S1-R1; S1-R2; S1-R6)
DINV-CAP-02,C44507,A required note is enforced on submit and listed in outstanding items,Capturing Findings,SV-9099 (S1-R3; S1-R4; S1-R5; S1-E5)
DINV-CAP-03,C44508,"Note rule negatives and edge cases (off, OK/NA, spaces, changed response)",Capturing Findings,SV-9099 (S1-N1; S1-N2; S1-E1..E4)
DINV-CAP-04,C44509,"'Photo required if Not OK' on checkbox fields, on by default, enforced on submit",Capturing Findings,SV-9440 (S17-R1; S17-R2; S17-R3; S17-R4; S17-R5; S17-R6)
DINV-CAP-05,C44510,Photo-required: interaction with unconditional rule; negatives and edges,Capturing Findings,SV-9440 (S17-R7; S17-N1..N3; S17-E1..E4)
DINV-CAP-06,C44511,"Per axle is its own field type, prefilled with four measurement rows",Capturing Findings,SV-9106 (S8-R1..R5; S8-R9)
DINV-CAP-07,C44512,"Per-axle rows: rename in place, add/remove, last row protected, reference file",Capturing Findings,SV-9106 (S8-R6; S8-R7; S8-R8)
DINV-CAP-08,C44513,"Filling an axle: Single/Dual, Drum/Disc, per-position values and verdicts",Capturing Findings,SV-9106 (S8-R10..R13; S8-R15; S8-R16)
DINV-CAP-09,C44514,Derived verdicts worst-first; fill-time unit change; Single/Dual preserves,Capturing Findings,SV-9106 (S8-R14; S8-R17; S8-R27; S8-E7)
DINV-CAP-10,C44515,"Axle diagram, add/clear/delete axles, expand behaviour",Capturing Findings,SV-9106 (S8-R18; S8-R19; S8-R20; S8-R21; S8-R22)
DINV-CAP-11,C44516,"Per-axle output, per-position counting, and one finding per flagged row",Capturing Findings,SV-9106 (S8-R24; S8-R25; S8-R26)
DINV-CAP-12,C44517,"Per-axle negatives and edges: unanswered, N/A vs value, free text, road train",Capturing Findings,SV-9106 (S8-N1..N3; S8-E1; S8-E2; S8-E3; S8-E4)
DINV-CAP-13,C44518,Any field holds one 'Attach File' reference; types stated up front,Capturing Findings,SV-9109 (S11-R1; S11-R2; S11-R3; S11-R5; S11-R6; S11-R7)
DINV-CAP-14,C44519,Technician opens the reference file full-page; survives republish; negatives,Capturing Findings,SV-9109 (S11-R4; S11-R8; S11-N1; S11-N2; S11-N3)
DINV-BLD-01,C44520,Build turns every Monitor and Not OK finding into a work order line,Building Work From Findings,SV-9100 (S2-R1; S2-R2; S2-R7; S2-R8; S2-R9; S2-R10)
DINV-BLD-02,C44521,Target work order chosen up front; closed WO forces a new one,Building Work From Findings,SV-9100 (S2-R3; S2-R4; S2-R5; S2-R6)
DINV-BLD-03,C44522,Navigation precedes drafting; state changes only on Add Lines,Building Work From Findings,SV-9100 (S2-R11; S2-R12; S2-R13)
DINV-BLD-04,C44523,"Build negatives: no ShopCoach, not completed, no findings, permission gates",Building Work From Findings,SV-9100 (S2-R0; S2-N1..N5)
DINV-BLD-05,C44524,"Build edge cases: closed-by-another, deleted WO, concurrent, no labour types",Building Work From Findings,SV-9100 (S2-E4; S2-E5; S2-E6; S2-E8; S2-E9; S2-E10)
DINV-BLD-06,C44525,"Build Work Order action on the completed inspection, phone-capable",Building Work From Findings,SV-9101 (S3-R1; S3-R2; S3-R3)
DINV-BLD-07,C44526,S3 negatives/edges: absent (not disabled) when no findings/rights/ShopCoach,Building Work From Findings,SV-9101 (S3-N1..N4; S3-E1; S3-E3)
DINV-BLD-08,C44527,Build action on the work order's inspection report note,Building Work From Findings,SV-9102 (S4-R1; S4-R2; S4-R3; S4-R4)
DINV-BLD-09,C44528,"S4 negatives: passes-only, deleted inspection, history view, no ShopCoach",Building Work From Findings,SV-9102 (S4-N1..N5; S4-E1)
DINV-BLD-10,C44529,Build from an asset Inspections-tab row via an up-front target menu,Building Work From Findings,SV-9104 (S6-R1..R8)
DINV-BLD-11,C44530,"S6 negatives: closed/deleted WO, no create rights, no ShopCoach, no bulk",Building Work From Findings,SV-9104 (S6-N1..N5; S6-E1; S6-E2; S6-E3)
DINV-BLD-12,C44531,Build records a note and an Audit Log entry naming the source inspection,Building Work From Findings,SV-9105 (S7-R1..R6)
DINV-BLD-13,C44532,ShopCoach brief is composed from the inspection; user never types a prompt,Building Work From Findings,SV-9404 (S15-R1; S15-R2; S15-R3; S15-R4)
DINV-BLD-14,C44533,ShopCoach action reads as AI; named once; drafting concurrent with navigation,Building Work From Findings,SV-9404 (S15-R5; S15-R6; S15-R7; S15-R8; S15-R9; S15-R10)
DINV-BLD-15,C44534,"Proposed lines are selected, editable in place, added only on Add Lines",Building Work From Findings,SV-9404 (S15-R11; S15-R12; S15-R13; S15-R14; S15-R15; S15-N4)
DINV-BLD-16,C44535,ShopCoach failure and empty-result are stated plainly; nothing added,Building Work From Findings,SV-9404 (S15-N2; S15-N3; S15-E1; S15-E2; S15-E3; S15-E4)
DINV-HIST-01,C44536,"Asset record gains an Inspections tab listing every inspection, newest first",Inspection History,SV-9103 (S5-R1..R8)
DINV-HIST-02,C44537,"Findings column, action states, filter row and 'N of M need a work order'",Inspection History,SV-9103 (S5-R6; S5-R9; S5-R10; S5-R11; S5-R12; S5-R14)
DINV-HIST-03,C44538,Counts read the same for everyone; counting definition; phone layout,Inspection History,SV-9103 (S5-R13; S5-R15; S5-R16; S5-R17; S5-R19; S5-R20)
DINV-HIST-04,C44539,"S5 negatives and edges: tab gating, empty/edge rows, deleted WO, cutoff",Inspection History,SV-9103 (S5-N1; S5-N2; S5-N3; S5-E1; S5-E2; S5-E3; S5-E4; S5-E5; S5-E7)
DINV-AUTH-01,C44540,New template shows only the starting-point choice until one is picked,Template Builder,SV-9110 (S12-R1; S12-R2; S12-R3)
DINV-AUTH-02,C44541,"Starting points Brake and Axle, PM Service; later sections = field types",Template Builder,SV-9110 (S12-R4; S12-R5; S12-R7)
DINV-AUTH-03,C44542,"Field properties panel: per-axle row cards, response options, validation errors",Template Builder,SV-9110 (S12-R8; S12-R9; S12-R10; S12-R11; S12-R12; S12-R13; S12-R14; S12-R15)
DINV-AUTH-04,C44543,"Canvas rows, empty-section restraint, and one merged Text field",Template Builder,SV-9110 (S12-R16; S12-R17; S12-R18; S12-R19; S12-R20; S12-R21; S12-R22; S12-R23)
DINV-AUTH-05,C44544,"S12 negatives and edges: starting-point limits, empty-label block, deletions",Template Builder,SV-9110 (S12-N1; S12-N2; S12-E1; S12-E2; S12-E3)
DINV-RPT-01,C44545,"Report content: title, removed elements, work order number and dates",Customer Report,SV-9111 (S13-R0; S13-R1; S13-R2; S13-R3; S13-R4; S13-R5; S13-R6; S13-R7; S13-R8)
DINV-RPT-02,C44546,"Report addressing, versioning, and negatives/edges",Customer Report,SV-9111 (S13-R9; S13-R10; S13-R11; S13-R12; S13-R13; S13-N1; S13-N2; S13-E1; S13-E3)
DINV-PHONE-01,C44547,Per-axle and reference-file rendering on a phone; no sideways scroll,Phone Filling,SV-9397 (S14-R1; S14-R2; S14-R3; S14-R4; S14-R5)
DINV-PHONE-02,C44548,Outstanding work surfaced on the section action; negatives,Phone Filling,SV-9397 (S14-R6; S14-R7; S14-R8; S14-N1; S14-N2; S14-E1; S14-E2)
