"Date Range: Aug 1, 2026 - Aug 4, 2026"
"Locations: All locations"
Type,"Part #",Description,Category,Vendor,Location,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
Inventory,"#3 Expanded Steel","#3 Expanded Steel Sheet","HD-Fabrication & Building",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,00-31-74,"BOOT CLAMP 66.4 - 74.0MM","HD-Drive Train",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,0002-060004,"MUD FLAP SPRING SUPPORT","HD-Truck Accessories",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,001-1689544,"FILTER LPG HYSTER",HD-Filters,—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,1,1
Inventory,002-011000,"TRUCK BOX TARP CRANK","HD-Truck Accessories",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,002020088,"CIR CLIP",HD-Fasteners,—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,004188,"Door Hinge Strap","HD-Body Exterior","Hocrest Supply","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,00492600,"MOUNT BRACKET",HD-Filters,—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,006-190-00,"SPINDLE NUT RETAINER","HD-Trailer Comp","Wuboro Farms","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,5.00,0.00,0,0
Inventory,01-32732-147,"8 RIB SERP BEL, 2147MM","HD-Belts, Pulleys & Tensioners",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,01-33963-000,"Front Lower Engine Mount Isolator","HD-Engine Comp","Enson Forestry","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,01-33964-000,"Front Lower Engine Mount Isolator","HD-Engine Comp","Enson Forestry","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,01-35647-674,"Belt - 6 Rib","HD-Belts, Pulleys & Tensioners","Enson Forestry","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,01-497,"JAM NUT, AIRBAG NUT",HD-Fasteners,"Wuboro Farms","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,7.00,0.00,0,0
Inventory,010-050-00,"O-RING, HUB CAP","HD-Trailer Brake Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"397 days",6.00,0.00,2,8
Inventory,010108,"EXHAUST WRAP",HD-Exhaust,—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,50.00,0.00,0,1
Inventory,0105019,"CASTROL PYROPLEX BLUE GREASE","AUTO-Oil, Lube & Maintenance","Zocrest Maintenance","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,0,0
Inventory,01072317A,"2""x4"" SPRUCE, DRY","HD-Body Exterior","Jehaven Fabrication","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,96.00,0.00,0,0
Inventory,01072914a,"spruce 2 x 10 x 14","HD-Fabrication & Building","Jehaven Fabrication","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.50,0.00,0,0
Inventory,01111150,"Bowden main brush lift cable",Uncategorized,—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,01485552,"ACDELCO HEATER HOSE 20"" GMC","HD-Engine Comp",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,019442154165,"3/8X4 TUBE","HD-Fabrication & Building","Tepark Towing","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"416 days",1.00,0.00,0,0
Inventory,02-02737,"Shock Absorber, Front, Paccar","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,1
Inventory,02-12176-000,"Pilot Bearing","HD-Drive Train",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,02-507,"TRAILER BRAKE DUST SHIELD","HD-Trailer Brake Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"430 days",8.00,0.00,0,0
Inventory,022-00577,"PIGTAIL HOLD BACK","HD-Trailer Comp","Robridge Logistics","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,5.00,0.00,0,0
Inventory,02597,"SHAFT SEAL KIT, 20MM, PANDROL","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,02598,"SHAFT SEAL KIT, 18MM, PANDROL","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,02599,"SEAL KIT, INTERNAL, PANDROL","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,027-050-00,"Brake Magnet Retainer (DX27-050)","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"290 days",9.00,0.00,0,0
Inventory,03-07421,"Shock Absorber, Rear, Air Trac","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,0,1
Inventory,03-34520-000,"O-RING AIR INTAKE","HD-Cooling & HVAC",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,03-42776-010,"Engine Air Filter, Cascadia, 57X",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"67 days",1.00,0.00,1,2
Inventory,03-42776-010,"Engine Air Filter, Cascadia, 57X",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,1,2
Inventory,03-43845-001,"Fuel Filter Element, Freightliner, Racor Head",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"454 days",4.00,0.00,0,1
Inventory,0304-0794,"RESISTOR.ONAN , GEN.","HD-Engine Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,031-028-01,"02420 OUTER BEARING CUP (02475/ RT4075)","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,14.00,0.00,2,0
Inventory,03147,"Exhaust Manifold Flange Stud Kit, 3/8""","HD-Engine Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,04-23277-000,"V-Band Clamp","HD-Engine Comp","Enson Forestry","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,1,2
Inventory,04-28289-000,"DPF Mounting Strap, ISX",HD-Emissions,—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,04-28527-000,CONNECTOR,HD-Exhaust,—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,04-552352,"CAMSHAFT LH (17-863, M16WKL15-236, 123.102316.07)","HD-Heavy Duty Brake Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,0431-1-008,"DOCUMENT HOLDER, TUBE STYLE W/ BRACKET (RA913)","HD-Trailer Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,3.00,0.00,0,0
Inventory,046-032-00,"HUB CAP PLUG (180.4632, 7700052)","HD-Wheel Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,1
Inventory,05-1867-513*356,"PACCAR GREY SPRAY PAINT","HD-Misc / Other","Teline Rentals","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,05-28963-002,"COOLANT HOSE, WESTERN STAR","HD-Cooling & HVAC","Ruridge Mining","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"209 days",6.00,0.00,0,0
Inventory,05-562,"SLACK ADJUSTER 28SPL 5-6"" CENTERS (AS1139)","HD-Heavy Duty Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,051064962,"PIANO HINGE 1-1/4""X36""","HD-Fabrication & Building",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,0516-0352-AG,CABLE,"HD-Misc / Other",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
