cid,report,category,container_expected,expected_renders,container_preconds,container_steps,atmstatus,automated,current_pin,intended_pin,pin_token_present,live_token_already_present,expected_top_level_blocks,literal_tags_visible,visible_entities,updated_on,error
C30195,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085281,
C30206,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085283,
C30208,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085284,
C30213,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085285,
C30217,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787058688,
C30221,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1786997410,
C30226,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787747461,
C30229,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085050,
C30230,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787747462,
C30231,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085053,
C30233,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085288,
C30235,SBR,no-anchor,markdown,NO,markdown,markdown,1,NO,22,24,True,False,1,,,1787084966,
C30236,SBR,no-anchor,markdown,NO,markdown,markdown,1,NO,22,24,True,False,1,,,1787084967,
C30237,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085055,
C30238,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085056,
C30247,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127685,
C30255,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127598,
C30256,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127608,
C30262,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787058774,
C30271,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127655,
C30272,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127645,
C30274,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127638,
C30275,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127663,
C30276,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127630,
C30277,SBR,automated,markdown fr-view,YES,markdown fr-view,markdown fr-view,3,YES,22,24,True,False,1,,,1787127617,
C30293,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787127353,
C30314,SBR,automated,markdown,NO,markdown,markdown,3,YES,22,24,True,False,1,,,1787058852,
C30322,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787127421,
C30325,PV,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,4,,,1787087473,
C30326,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787058414,
C30328,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787058418,
C30333,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787058427,
C30338,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787058436,
C30345,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787213129,
C30346,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787027046,
C30348,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787213180,
C30351,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787127454,
C30352,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787027612,
C30353,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787027044,
