group,foreign_case,author,section,case_verdict,unit_where,unit_verdict,strength,signature,missing_token,our_cases,why,assertion
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,sbr permission,sbr,,no case of ours contains 'sbr' together with ['permission'],Admin with the SBR view permission (reports project storage state)
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,workplac,workplac,,no case of ours contains 'workplac' together with [],The org has at least two accessible workplaces
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,STRONG,workplac wos aggregat,wos,,"no case of ours contains 'wos' together with ['workplac', 'aggregat']","ONE sales rep is credited on invoiced service WOs at BOTH workplaces, so the rep's summary row aggregates across locations and carries one invoice detail row per workplace (seeded via API)"
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,step1.content,COVERED-BY,STRONG,scope single summary,,C30218 C30278 C30285 C38913,"all of ['scope', 'single', 'summary'] co-occur in a case of ours","At the default single-location scope, download Summary (CSV)"
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,step2.content,CANDIDATE GAP,STRONG,refetch summary csv,summary,,"no case of ours contains 'summary' together with ['refetch', 'csv']","Turn on All Locations, wait for the refetch, and download Summary (CSV) again"
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,step3.content,CANDIDATE GAP,STRONG,widened scope expanded,scope,,"no case of ours contains 'scope' together with ['widened', 'expanded']",Download Expanded (CSV) in the same widened scope
4281,C38923,Vladimir Tomovic,Reports Suite > Sales By Representative Report > SBR — Exports,CONTRADICTS-OURS,step4.content,CONTRADICTS-OURS,STRONG,footer expanded total,footer,C30218 C30238 C30267 C30279 C30288 C30291,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'footer' - read both before ruling",Inspect the Expanded footer totals row
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,workplac,workplac,,no case of ours contains 'workplac' together with [],Owner/admin with PV access and at least two accessible workplaces
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,STRONG,workplace sold invoiced,sold,,"no case of ours contains 'sold' together with ['workplace', 'invoiced']",One inventory part sold on an invoiced WO at the active workplace (seeded via API)
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,workplac merg wos,workplac,,"no case of ours contains 'workplac' together with ['merg', 'wos']","The SAME vendor special-order part sold on invoiced WOs at BOTH workplaces, so PV merges them into one special-order row (seeded via API)"
