Ticket,Area,Release,Verdict,Confidence,What The Bug Is,Steps To Reproduce,What Should Happen,What Actually Happens Now,Screenshot,Notes
SV-3104,invoicing / accounting,v0.31 Bug Fixes,FIXED,high,The vendor unpaid invoices page had no loading indicator while its data was being fetched (reported via video).,"Navigated Parts > Vendors, opened a vendor (Aiwick Concrete) detail | Throttled the unpaid-invoices API response by ~2.5s to make any transient loader observable | Clicked the 'Unpaid Invoices' tab (route /parts/vendor/{id}/unpaid-invoices) and polled for spinner/loading elements | Let the request complete and confirmed the invoice table rendered",A loader/spinner should display on the vendor unpaid_invoices page while the invoice data is loading.,"While the (throttled) unpaid-invoices data was loading, a loader element appeared (one .q-spinner/.q-inner-loading progress indicator detected). After the request completed the Unpaid Invoices table rendered (e.g. credit C-9798, Balance -$645,456.00). The loader is present as required.",build/bugfix-regression/screenshots/SV-3104.png,"Loader detected only by artificially delaying the API; on normal fast loads it flashes briefly, which is expected behavior for a loading indicator."
SV-3208,work orders,v0.43 Bug Fixes,FIXED,high,"With 'Show Declined Work' OFF the invoice balance was correct, but toggling it ON added shop supplies from declined lines to the Balance. Declined lines should never contribute costs (shop supplies, parts, labor) to totals.",Scanned invoiced/paid work orders (via /api/work-orders/lines with x-current-page header) for lines in declined status; found WO S2-15522 with 16 declined lines of 21 | Opened its Finance tab; captured the invoice_id (8ed189b1...) from the invoice preview call which uses includeDeclined=0 | Fetched /api/invoices/preview for the same invoice with includeDeclined=0 and includeDeclined=1 | Parsed the summary Parts/Labor/Shop Supplies/Subtotal/Total/Balance from both preview HTML documents,"When declined work is shown, declined lines are displayed but do not affect the invoice subtotal, shop supplies, tax, total, or balance.","Both modes return identical summary totals: Parts 477.39, Labor 743.76, Shop Supplies 78.09, Subtotal 1,299.24, Total 1,364.21, Balance 0.00. With includeDeclined=1 the 16 declined lines are rendered (HTML grows 69,708 -> 98,864 chars, 'Declined' appears) but shop supplies and all totals stay unchanged.",build/bugfix-regression/screenshots/SV-3208.png,The 'Show Declined Work' toggle drives the includeDeclined param on the invoice preview; declined-line shop supplies no longer inflate the balance.
SV-3256,reports,v0.44 Bug Fixes,FIXED,high,"Only the first four columns (date, invoice number, customer, advisor) of the Advisor Analysis report should be sortable with a visual sort indicator; the remaining columns must not be sortable.","Logged in as admin, opened Reports and clicked Advisor Analysis (/reports/service-advisor-analysis) | Enumerated all table header cells and checked for sort arrow indicators | Captured first-column order, clicked the Date header, re-captured order",First 4 columns sortable ascending/descending with arrow indicator; columns beyond the first four not sortable.,"Columns 0-3 (Date, Invoice, Customer, Advisor) each display an arrow_drop_up sort indicator; columns 4-17 (Days Open, Lines, Hrs Worked ... Subtotal) have no sort arrow. Clicking the Date header re-sorted the data (from Jul 03 2026 descending to Jul 01 2026 ascending).",build/bugfix-regression/screenshots/SV-3256.png,Exactly matches requirement: only the first four columns are sortable.
SV-3264,roles / permissions,v0.31 Bug Fixes,FIXED,high,"On administration/staff each sortable column works except Billable, which could not be sorted.",Logged in as admin and opened /administration/staff | Observed the Billable column has an arrow_drop_up sort indicator | Captured initial row order (Billable values mixed) | Clicked the Billable column header once | Clicked the Billable column header a second time,Billable column should sort ascending/descending like the Is Active column.,"Billable column is sortable. Before clicking, Billable values were mixed (Yes/No interleaved). After 1 click all top rows show Billable=No (ascending); after a 2nd click all top rows show Billable=Yes (descending). The header carries a sort arrow indicator.",build/bugfix-regression/screenshots/SV-3264.png,Sorting behaves consistently with other sortable columns.
SV-3274,work orders,v0.54 Bug Fixes,FIXED,high,When adding a new line you could only edit the 'What Are You Doing?' field while the cursor was still in it. After clicking out you had to delete the whole thing and retype it to make any change.,"Opened WO S9-24917 (approved) lines page, clicked New Line to open the New Line dialog | Typed 'OilChangeService' into the 'What are you doing?' field (data-test-id select_line_canned_line) | Verified mid-text insertion works before blur (caret at pos 3, typed AAA -> OilAAAChangeService) | Clicked another field (Estimated Time) to blur the What Are You Doing field | Clicked back into the What Are You Doing field and inspected retained value | Placed caret at position 3 and typed BBB to test mid-text editing after blur",The 'What Are You Doing?' field remains freely editable after clicking out and back in - you can place the cursor and edit mid-text without deleting everything.,On refocus after blur the field shows the retained text 'OilChangeService' and mid-text insertion works: typing BBB at position 3 produced 'OilBBBChangeService'. No need to delete and retype. Editing works the same before and after clicking out.,build/bugfix-regression/screenshots/SV-3274.png,"The 'What are you doing?' field is a Quasar q-select combobox; its transient search text clears visually on blur, but the committed value is preserved and fully editable on refocus. No test line was saved."
SV-3408,parts / inventory,v0.31 Bug Fixes,OBSOLETE,medium,"In the parts tab on a work order, an icon on the left was supposed to show the initials of the user who created the original parts request (with the full name on hover), but it showed 'AN' instead.",Confirmed the ticket status in the source system is OBSOLETE | Attempted to open the work order parts view - the standalone /workorders/{id}/parts route returns 'The page does not exist!' (404) | Opened the WO lines view to reach the 'Parts (N)' sub-tab and looked for a per-part-request creator identifier icon,"The icon should show the correct initials of the user who created the parts request, and the full name on hover.","The standalone per-work-order Parts tab described in the ticket no longer exists (the /parts route 404s); parts are surfaced inside the lines view as a 'Parts (N)' sub-tab. The specific 'creator initials' icon layout described (showing 'AN') is not present in the current UI. Combined with the ticket being explicitly marked OBSOLETE, this is not a valid re-test target.",build/bugfix-regression/screenshots/SV-3408.png,Ticket status is OBSOLETE in Jira; the feature/UI referenced has been reworked. Not re-tested against original repro because the described surface no longer exists.
SV-3606,general / UI,v0.31 Bug Fixes,FIXED,high,Users could not update the IBS approval code - the field was greyed out (showed a red 'no' circle on hover) and had no save option.,"Identified customers with an IBS code set (e.g. Aavale Apparel, ibs=783666) | Opened the customer (/customers/{id}) and clicked Edit to open the customer edit form (the IBS approval code field lives here) | Inspected the IBS field state and attempted to change the value | Changed IBS from 783666 to 783699 and clicked Save | Verified persistence via API, then restored the original value 783666",The IBS approval code field should be open to edit and a save button should be present/enabled when edited.,"The IBS field is fully editable (input readOnly=false, disabled=false), not greyed out. Editing enables the Save button. Saving fired POST /api/customers/change (HTTP 200) and the value persisted (API confirmed ibs=783699). Original value restored to 783666 afterward.",build/bugfix-regression/screenshots/SV-3606.png,IBS approval code is a per-customer field edited via the customer Edit form; it now accepts edits and saves end-to-end. Test change was reverted.
SV-3612,invoicing / accounting,v0.31 Bug Fixes,FIXED,high,Invoices with full payments applied were remaining in 'Invoiced' status instead of moving to 'Paid'.,"Opened Finance tab for WO S9-24674, confirmed status=Invoiced, Total $1,397.49, Payments $500.00, Balance $897.49 | Clicked New Payment, selected payment method Cash, kept the prefilled full remaining amount $897.49 | Clicked Make Payment | Reloaded the Finance tab and re-checked status and balance; also checked the work-orders list status via API","When the invoice balance reaches $0 via payments, the work order/invoice status should transition to 'Paid'.","After the full payment, Payments show $1,397.49 (= Total), Balance $0.00, and the status changed to 'Paid' in the finance header. The work-orders list API also reports status 'paid'. The order is not stuck on Invoiced.",build/bugfix-regression/screenshots/SV-3612.png,"Also observed pre-existing paid orders (e.g. S9-24656) correctly at balance 0.00. Original prod-reported WOs are prod-only data, but the paid-transition mechanism works on staging. Test payment left applied on disposable staging WO."
SV-3715,parts / inventory,v0.31 Bug Fixes,NOT-TESTABLE,medium,A special order part with a cost or sell price ending in .99 (e.g. $16.99) was automatically changed to .98 (e.g. $16.98) after the part was received. Reported as unfixable via the Edit Part modal but correctable via the Parts tab.,"On WO S9-24917 opened the Edit Part Request modal for a vendor (special order) part 'Miscellaneous hardware' | Set Cost = $16.99 and saved (POST /api/work-orders/part/change-request returned 200) | Read the part request back via API: cost=16.99, cost_decimal=16.99 (exact, no .98 rounding) | Set a part number and vendor (123 Cannabis Forestlawn); status advanced from Requested -> Quoted with cost still $16.99 | Attempted to reach the receipt step: the special-order receive requires the Purchase Orders workflow (authorize to order -> create PO -> receive against PO at /parts/orders) | Explored /parts/orders and an existing PO; could not create/receive a fresh $16.99 special-order PO within the session",Prices/costs should reflect exactly what the user inputs (e.g. .99) and never be rounded/altered by workflow events like receiving.,"At the entry/edit/save stage the value $16.99 is preserved exactly (cost and cost_decimal both 16.99) - the Edit Part Request modal does NOT round to .98 and does save (contradicting the reported 'unfixable via Edit Part modal' symptom). I could not fully exercise the receipt step (authorize->PO->receive) end-to-end in this harness session, so the exact post-receipt value was not directly observed.",build/bugfix-regression/screenshots/SV-3715.png,"Partial result: the cost-handling at the request/quoted/Edit-Part-modal stage is clean (.99 preserved), which is evidence the rounding is likely fixed. The final receive-time transformation could not be driven because it needs the multi-step Purchase Order receiving flow (create-PO endpoints are flagged as prone to 500 on this staging session). Recommend a follow-up focused re-test that completes a special-order receipt of a $16.99 part."
SV-3730,work orders,v0.43 Bug Fixes,FIXED,high,"On the work orders list page the totals were wrong - off by a few pennies while in work-order status, and 'way out' once invoiced. They should always match the finance tab (same source, no separate calculation).",Fetched the work orders list via API and recorded each WO totalPrice (cents) | Opened the Finance tab for several WOs (invoiced and paid) and read the finance Total/Payments/Balance | Compared list totals against finance totals,The total shown on the work orders list must equal the finance tab total for the same work order.,"List total equals finance Total for every WO checked: S9-24674 $1,397.49=$1,397.49; S9-24662 $1,618.06=$1,618.06; S9-24656 (paid) $1,348.39=$1,348.39 (payments $1,348.39, balance $0.00); S9-24669 $1,078.71=$1,078.71. No penny discrepancies and no large mismatches on invoiced orders.",build/bugfix-regression/screenshots/SV-3730.png,"List totalPrice (in cents) matches finance Total across work-order, invoiced, and paid statuses."
