"Date Range: Aug 8, 2026 - Aug 12, 2026"
"Locations: Staging Heavy Duty - 9919"
"WO #",Status,Customer,Unit,Advisor,"Days Open",Earned,Remaining,Total
S8582-16710,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16709,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16708,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16707,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16706,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16702,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16695,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16650,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16649,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16648,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16647,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16645,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16643,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16637,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
S8582-16634,Approved,TestVT1,,"Admin ShopView","0 days",$145.00,$0.00,$145.00
Totals,,,,,,"$2,175.00",$0.00,"$2,175.00"
