Case ID,Sub-section,Title,What Was Checked,Actual UI Observation (Verbatim),Screenshot Reference,Match (Yes/No/Partial),If No/Partial — What the UI Says Instead
C26307,Roles List Page,Roles & Permissions list page loads with all required columns,"Exact page title, subtitle string, column headers in order (list all + count), create button label + color.","Browser tab title: Roles & Permissions | ShopView
On page heading: Roles & Permissions
Subtitle: NONE — no subtitle/descriptive string is rendered beneath the heading. Header container text is only: 'Roles & Permissions' + search field + 'Create Custom Role' button.
Column headers in order: (leading unlabeled icon column — holds lock icon); Role Name (sortable, arrow_drop_up); Description; Template; Role Type (sortable); Users (sortable); Action
Labeled column count: 6
Create button label: Create Custom Role
Create button color: background rgb(56, 116, 255) (blue), text rgb(255,255,255) (white)",build/viu-testrail/screenshots/C26307.png,Partial,"Title 'Roles & Permissions' and the blue Create button MATCH the claim. BUT the UI shows 6 labeled columns (Role Name, Description, Template, Role Type, Users, Action) — not 5 — and there is NO subtitle string present."
C26309,Roles List Page,Create custom role button opens the Choose a template modal,Clicking Create button opens a modal; capture modal title + subtitle verbatim.,"Modal title: Choose a template
Modal subtitle: Start from a template to pre-fill settings, or skip to start from scratch.
Modal controls: close (x); list of template cards (Admin, Foreman, Office, Parts Manager, Parts Tech, Sales Representative, Senior Service Advisor, Service Advisor, Service Manager ...); Skip button; Apply button",build/viu-testrail/screenshots/C26309.png,Yes,
C26310,Roles List Page,"Custom role row exposes pencil (edit), three-dot menu, and eye (view) actions","Which action icons appear on a CUSTOM role row (pencil/edit, three-dot, eye/view) — present/absent, tooltips.","Custom role row action icons: edit (pencil); more_vert (three-dot)
Eye view standalone icon: ABSENT on custom rows
Note: 'View Permissions' (eye) is NOT a standalone icon on custom/editable rows — it lives INSIDE the three-dot (more_vert) menu. A standalone eye/visibility icon appears in the Action column ONLY for locked system roles (Time Clock, Office), which show the eye instead of edit+three-dot.
Tooltips observed: none (no title/aria-label text on the pencil/three-dot icons)",build/viu-testrail/screenshots/C26310.png,Partial,"Custom rows expose pencil (edit) + three-dot (more_vert) as direct icons. There is NO standalone eye/view icon on custom rows — 'View Permissions' is an item inside the three-dot menu. Standalone eye icons appear only on locked system rows (Time Clock, Office)."
C26315,Roles List Page,Users column shows a clickable blue number that reflects the actual user count,Is the Users column value a clickable blue number? Where does clicking navigate? Appearance.,"Nonzero users: Rendered as a blue clickable number — <a href=""/administration/staff?roleName=<RoleName>""> wrapping <span class=""text-blue"">N</span>. Navigates to the Staff page filtered by roleName (e.g. /administration/staff?roleName=Admin).
Zero users: Rendered as a RED number (<span class=""text-red"">0</span>) with NO link — not clickable.
Examples: Admin=91 (blue link), Technician=65 (blue link), Service Advisor=2 (blue link); custom roles with 0 users show red '0' non-clickable.",build/viu-testrail/screenshots/C26315.png,Yes,Confirmed: blue clickable number links to Staff (/administration/staff?roleName=...). Nuance: zero-user rows show a non-clickable RED '0' instead of a blue link.
C26316,Roles List Page,Search field filters the Roles list,Search field placeholder text; type a role name and record whether the list filters.,"Search field: Quasar input with a FLOATING LABEL 'Search Role' (no HTML placeholder attribute — placeholder attr is empty). Magnifier (search) icon on the left.
Filter behavior: Typing 'Technician' filtered the list from 30 visible rows down to 1 row ('Technician'). List filters live as you type.",build/viu-testrail/screenshots/C26316.png,Yes,"Search filters the list. Minor detail: 'Search Role' is a floating label, not a placeholder attribute."
C26318,Roles List Page,'Locations' item appears under SETTINGS sidebar group for users with Locations access,Left sidebar under a 'SETTINGS' group — is there a 'Locations' item? Capture exact group label and items.,"Sidebar group label: SETTINGS
Settings group items in order: Settings; Staff; Roles & Permissions; Locations; Departments; Taxes
Locations present: YES — 'Locations' (location_on icon) appears in the SETTINGS group, between 'Roles & Permissions' and 'Departments'.",build/viu-testrail/screenshots/C26318.png,Yes,
C26320,Roles List Page,Each system role row shows its canonical description text in the Description column,"Each system role's Description text verbatim, and COUNT of system roles listed.","System role count: 11
System roles and descriptions verbatim: Admin — Full system access; Parts Manager — Full parts and inventory control; Time Clock — Clock in/out only; Senior Service Advisor — Work order and customer management with expanded access; Foreman — Oversees technicians and work orders; Office — Office administration, reporting, and back-office operations; Technician — Assigned work orders and time tracking (Tech View); Parts Tech — Parts operations and vendor management; Service Manager — Full operational access, limited admin (App Settings + Wages only); Sales Representative — Reports and financial data access only; Service Advisor — Work order and customer management with invoicing access",build/viu-testrail/screenshots/C26320.png,Partial,"The UI lists 11 system roles (each with a description in the Description column), NOT 9 as the case asserts. Descriptions captured verbatim above."
C26321,Roles List Page,Custom role rows show the admin-entered description or '-' placeholder,What shows in Description for a custom role with a blank description (e.g. literal '-')?,"Blank description placeholder: A literal hyphen '-' is shown in the Description column for custom roles with no admin-entered description.
Examples blank: Mudassir Test Role Migrated 6; Mudassir Test Role 11; Mudassir Test Role 1; A - Custom; A2 - Custom; Milos Testing Role
Examples with description: C26400 customers-delete... -> 'Custom-role preset: zero permissions (negative-enforcement baseline)'; C26379 review-on... -> 'Custom-role preset: Work Orders view-only'; Parth cust1 -> 'Parth cust1'
Note: No throwaway ZZAUTOTEST role needed — multiple existing blank-description custom roles already display '-'.",build/viu-testrail/screenshots/C26321.png,Yes,
C26322,Roles List Page,Three-dot menu on editable system role rows exposes a 'Duplicate' action,"Three-dot menu on an EDITABLE SYSTEM role row — list every menu item label verbatim (is there 'Duplicate'?), tooltips.","Row tested: Admin (System, editable)
Three dot menu items verbatim: View Permissions
Duplicate present: NO — there is no 'Duplicate' item.
Tooltips: none observed
Note: The three-dot menu on an editable system role contains only 'View Permissions' (with a visibility/eye icon). Edit is a separate pencil icon in the Action column, not inside this menu.",build/viu-testrail/screenshots/C26322.png,No,The editable system-role three-dot menu exposes only 'View Permissions'. There is NO 'Duplicate' action.
C26324,Roles List Page,"Three-dot menu on custom role rows exposes both 'Duplicate' and additional actions (Edit, Delete, View)",Three-dot menu on a CUSTOM role row — list every item label verbatim (Duplicate/Edit/Delete/View?).,"Row tested: A - Custom (Custom role)
Three dot menu items verbatim: View Permissions; Delete
Delete styling: 'Delete' shown in red with a delete (trash) icon
Duplicate present: NO
Edit present in menu: NO — Edit is a separate pencil icon in the Action column, not inside the three-dot menu",build/viu-testrail/screenshots/C26324.png,Partial,"Custom-role three-dot menu contains only 'View Permissions' and 'Delete'. There is NO 'Duplicate' in the menu, and 'Edit' is NOT in the menu (it is a standalone pencil icon). So of the claimed items, only Delete and View are in the menu; Duplicate is absent."
C26325,Roles List Page,Clicking Duplicate on a system role creates a new custom role pre-filled with the source role's permissions,Click Duplicate on a system role — what happens? (opens editor pre-filled? new custom role created? capture title + toast).,"Duplicate action found: NONE — no 'Duplicate' control exists anywhere on the Roles list page (checked three-dot menus on both editable system role (Service Manager) and confirmed 0 'Duplicate' elements in the DOM).
Result: The Duplicate flow could not be exercised because the feature is not present in the UI. No role was created; nothing to clean up.",build/viu-testrail/screenshots/C26325.png,No,"There is no Duplicate action in the UI, so no 'pre-filled custom role' can be created via Duplicate. The system-role three-dot menu offers only 'View Permissions'."
C26326,Create Custom Role,Choose a template modal lists all 11 system role templates with descriptions,Choose a template modal lists all system role templates with descriptions; count (claim: 11).,"Clicking 'Create Custom Role' opens a modal titled 'Choose a template' with subtitle 'Start from a template to pre-fill settings, or skip to start from scratch.' It lists 11 templates (verbatim name + description): 1) Admin — 'Full system access'; 2) Foreman — 'Oversees technicians and work orders'; 3) Office — 'Office administration, reporting, and back-office operations'; 4) Parts Manager — 'Full parts and inventory control'; 5) Parts Tech — 'Parts operations and vendor management'; 6) Sales Representative — 'Reports and financial data access only'; 7) Senior Service Advisor — 'Work order and customer management with expanded access'; 8) Service Advisor — 'Work order and customer management with invoicing access'; 9) Service Manager — 'Full operational access, limited admin (App Settings + Wages only)'; 10) Technician — 'Assigned work orders and time tracking (Tech View)'; 11) Time Clock — 'Clock in/out only'. Footer buttons: 'Skip' and 'Apply'. COUNT = 11.",build/viu-testrail/screenshots/C26326.png,Yes,
