internal_id,testrail_case_id,title,section,refs
SBC-NAV-01,C30096,"Sales By Customer listed under Performance, below existing links; titles correct",SBC — Access & Navigation,SV-8600 (SBC spec v17 2026-08-10 S1-R1; S1-R3; S1-R4 — Confluence 577634305 v-2026-07-31; Performance-group placement per the PRD video 2026-07-30; access = ordinary reports permission per Chris Ward 2026-07-31 Q4=A + SV-8598 sheet Q1=A)
SBC-PERM-01,C30098,Ordinary reports access opens Sales By Customer — no separate permission,SBC — Permissions,"SV-8600 (SBC spec v17 2026-08-10 S1-R2 — Confluence 577634305 v-2026-07-31 — now reads ""gated by ordinary reports access; not by a report-specific permission""; Chris Ward Q1=A; built atom hidden-and-inert per his ruling; SV-8780 Ready to Fix)"
SBC-PERM-02,C30099,"Without reports access, Sales By Customer is not listed and cannot open",SBC — Permissions,"SV-8600 (SBC spec v17 2026-08-10 S1-N1 — Confluence 577634305 v-2026-07-31 — now reads ""A user without reports access does not see the report in navigation and cannot open it by direct link""; Chris Ward Q1=A; SV-8780 Ready to Fix)"
SBC-PERM-03,C30100,Opening an invoice you lack permission for shows access-denied; back works,SBC — Permissions,SV-8607 (SBC spec v17 2026-08-10 Story 9 S9-N2)
SBC-PERM-04,C30101,Location access enforced: no data from a location the user cannot access,SBC — Permissions,SV-8603 (SBC spec v17 2026-08-10 Story 4 S4-R7; S4-R8; S4-R9; S4-N1)
SBC-PERM-05,C39447,No Sales By Customer permission is offered in the role permission editor,SBC — Permissions,"SV-8598 (SBC spec v17 2026-08-10 S1-R2 — Confluence 577634305 v-2026-07-31 — ""there is no dedicated Sales By Customer View permission""; Chris Ward Q1=A + his ruling to hide an already-built permission from the front end; SV-8780)"
SBC-DATE-01,C30102,"Date range picker offers nine periods in the specified order, no All Time",SBC — Date Range Filter,SV-8601 (SBC spec v17 2026-08-10 Story 2 S2-R1; S2-R2 — S2-R2 CLOSES the eleven-option list and its order itself; so the closed list IS the requirement; re-check this case whenever S2-R2 changes)
SBC-DATE-03,C30104,Building a custom range on the calendar cannot exceed a 366-day span,SBC — Date Range Filter,SV-8601 (SBC spec v17 2026-08-10 Story 2 S2-R3; S2-R4; S2-N2)
SBC-DATE-04,C30105,Changing the date range writes it into the page link for sharing,SBC — Date Range Filter,SV-8601 (SBC spec v17 2026-08-10 Story 2 S2-R6; S2-R9 (context))
SBC-TYPE-02,C30107,Product Type multi-select: both toggles on by default; S/P prefix filtering,SBC — Product Type Filter,SV-8602 (SBC spec v17 2026-08-10 Story 3 S3-R1; S3-R2; S3-R3; S3-R4; S3-R5; S3-R6 — control redesigned from a single-select dropdown to a multi-select per SV-9074; S3-R2 CLOSES the list itself so the closed list IS the requirement)
SBC-TYPE-04,C43591,Clear all leaves neither Product Type toggle on and shows the empty state,SBC — Product Type Filter,"SV-8602 (SBC spec v17 2026-08-10 Story 3 S3-R6a — new in v17: with neither toggle selected after ""Clear all"" the report shows the Story 17 empty state until a toggle is selected; S3-R2 pins the two action rows; S17-R1 gives the message)"
SBC-LOC-01,C30109,"Location filter: rightmost, lists accessible locations, All locations on top",SBC — Location Filter,SV-8603 (SBC spec v17 2026-08-10 Story 4 S4-R1; S4-R2; S4-R3 + single-location filter HIDDEN per Chris Ward answer 2026-07-31 Q1=A; applied suite-wide)
SBC-LOC-03,C30111,Selecting locations scopes the data; All locations covers every accessible one,SBC — Location Filter,SV-8603 (SBC spec v17 2026-08-10 S4-R5; S4-R6 — per-row location identifier in All-locations view ADDED per kickoff video P10 [ruling 2026-07-28 video-overrides-spec]) + on-screen location-scope indicator per Chris Ward 2026-07-29 [newest-wins]
SBC-LOC-04,C38912,"Location column: shown to any multi-location user, Multiple on aggregating rows",SBC — Location Filter,"SV-8603; SV-8612; SV-8613 (SBC spec v17 2026-08-10 S4-R12; S4-R12a; S4-R13; S20-R19 - access-gated toggleable Location column; ""Multiple"" on aggregating rows; the same column in every export)"
SBC-CUST-01,C30112,"Customer filter sits between Product Type and Location, carries a search icon",SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R1; S18-R2)
SBC-CUST-02,C30113,Typing in the Customer filter lists matching customers by contains match,SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R2)
SBC-CUST-03,C30114,Pinned control toggles All customers and Clear all; clearing shows empty state,SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R3; S18-N1; S17-E1)
SBC-CUST-04,C30115,First load starts in the all-customers state and the report shows every customer,SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R4; S18-R5; S18-R9; S18-E1)
SBC-CUST-05,C30116,"Collapsed label reads None, the customer's name, or N selected",SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R5)
SBC-CUST-06,C30117,Changing the customer selection narrows the table and refreshes the totals,SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R5; S18-R11)
SBC-CUST-09,C30120,A subset customer selection reconciles on a filter change; kept if present,SBC — Customer Filter,SV-8616 (SBC spec v17 2026-08-10 Story 18 S18-R9; S18-E1)
SBC-ADJ-06,C43827,Each invoice detail row shows a per-invoice Adjustments value,SBC — Tree & Rows,SV-9280 (SBC spec v20 2026-08-12 S8-R12 — invoice detail row shows per-invoice Adjustments)
SBC-TREE-01,C30121,Each customer gets one summary row with its invoice count in parentheses,SBC — Tree & Rows,SV-8605 (SBC spec v17 2026-08-10 Story 7 S7-R1; S7-R2; S7-R3; S7-R4; S7-R5)
SBC-TREE-02,C30122,A customer with no matching invoices in the current view is not shown,SBC — Tree & Rows,SV-8605 (SBC spec v17 2026-08-10 Story 7 S7-N1)
SBC-TREE-03,C30123,Expanding a customer reveals asset rows; chevrons toggle and are independent,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R1; S8-R2; S8-R5; S8-R5a; S8-R5b; S8-R5c; S8-R15)
SBC-TREE-04,C30124,Expanding an asset reveals its invoice rows with number link and date,SBC — Tree & Rows,SV-8608 (SBC spec v20 2026-08-17 S8-R12; S7-R17; S7-R18; renamed to Labor Delta per SV-9071)
SBC-TREE-05,C30125,Invoices group into one asset row per vehicle record,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R3)
SBC-TREE-06,C30126,Asset rows order A to Z with the Parts Sales bucket always last,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R6; S8-R6a; Story 10 S10-R6)
SBC-TREE-08,C30128,Header-row chevron expands or collapses every customer on the current page,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R16; S8-R17; S8-R18; S8-R19)
SBC-TREE-09,C30129,Reload-causing changes collapse expansion; Customer filter typing does not,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R20; S8-R21; Story 10 S10-R8a; S10-R8b; S10-R8c)
SBC-TREE-10,C30130,Edge: a single-invoice asset can still be expanded,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-E1; S8-E2)
SBC-TREE-11,C30131,A service (S) invoice with no vehicle also lands in the Parts Sales bucket,SBC — Tree & Rows,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-E3)
SBC-TREE-12,C30132,Reversed and voided invoices are excluded from every row; count and total,SBC — Tree & Rows,SV-8605 (SBC spec v17 2026-08-10 Story 7 S7-R7; S7-N2; §3 Key Decisions)
SBC-TREE-13,C30133,Every row type renders the same columns in the same order,SBC — Tree & Rows,SV-8605 (SBC spec v17 2026-08-10 Story 7 S7-R8; S7-R9; S7-R10; S7-R15; S7-R16)
SBC-LBL-01,C30134,"Asset identified by VIN, falling back to Unit #, then plate",SBC — Asset Labels,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R7; S8-R8; S8-R9; S8-R10 - identifier RE-RULED to the VIN chain (VIN -> Unit # -> plate); by Chris Ward 2026-07-29 [newest-wins]; supersedes video P24 serial ruling AND the spec's year/make/model rule)
SBC-LBL-04,C30137,Duplicate asset labels get stable (#1)/(#2) suffixes that survive reloads,SBC — Asset Labels,SV-8606 (SBC spec v17 2026-08-10 Story 8 S8-R11)
