Role,Case #,What Failed (plain),"Steps To Replicate (numbered, layman)","Expected Behavior (per spec, plain)",Actual Result We Got (plain),Screenshot
Service Manager,11,Service Manager was able to fully reverse a work-order invoice end-to-end (expected: blocked).,"1. Log in as the Tech user carrying the Service Manager role. 2. Open a clean invoiced work order's Finance tab (e.g. S9-24609 after creating its invoice). 3. Click the three-dots (more) menu at the top-right of the invoice, just left of/near 'New Payment'. 4. The menu shows 'Reverse' and 'Issue Credit'. 5. Click 'Reverse'. 6. In the 'Warning' confirmation, click the 'Reverse' button. 7. Observe the reversal completes: the WO returns to un-invoiced and 'Create Invoice' reappears (server POST /api/invoices/reverse-invoice returns 200). Expected per checklist: this should have been blocked.","As a Service Manager you should NOT be able to reverse an invoice, delete a payment, or void a transaction — those controls should be hidden or should error.","RE-TESTED with the reverse ACTUALLY executed (earlier run only opened the modal and clicked Cancel). As Tech-as-Service-Manager I invoiced clean throwaway WO S9-24609 (POST /api/invoices/create 201, INV-S9-24609, left unpaid), then on the Finance tab clicked the invoice's three-dots menu which showed 'Reverse' and 'Issue Credit'. Clicking 'Reverse' opened the Warning modal ('This action will re-open and undo the invoice. Are you sure you want to proceed?'); I clicked the confirm 'Reverse' button and the reversal COMPLETED: server returned POST /api/invoices/reverse-invoice 200, the Finance tab dropped back to un-invoiced (Invoiced=false, 'Create Invoice' available again, WO status Complete). So the Service Manager was NOT blocked - the reverse executed end-to-end. Separately, a delete-payment style call (POST /api/invoices/remove-customer-transaction) was observed to return 403 Access denied for SM, consistent with SM lacking invoicingPaymentsDelete; but the invoice REVERSE itself is gated by Work Orders: Delete (which SM has) and succeeded. The case's expected outcome (blocked from reversing) does not hold.",build/regression/screenshots/sm-11.png
Service Manager,N2,Service Manager could reverse a work-order invoice end-to-end (expected: blocked); the staging role carries Work Orders: Delete per SV-8093.,"1. Log in as the Tech user assigned the Service Manager role. 2. Create/open an invoiced work order (e.g. S9-24609) and open its Finance tab. 3. Click the three-dots menu near 'New Payment' on the invoice. 4. Click 'Reverse'. 5. In the 'Warning' pop-up, click the 'Reverse' confirm button. 6. Observe the reversal completes - the WO reverts to un-invoiced and 'Create Invoice' reappears; server POST /api/invoices/reverse-invoice returns 200. Expected per checklist: reversal should be blocked because SM supposedly lacks Work Orders: Delete.","As a Service Manager you should NOT be able to reverse a work-order invoice, because the checklist says the role lacks the Work Orders: Delete permission that reversing now requires.","RE-TESTED with the reversal ACTUALLY executed end-to-end (earlier run clicked Cancel, never completed it). As Tech-as-Service-Manager (fe-permissions verified: workOrdersDelete=ON, invoicingPaymentsDelete=OFF) I created an invoice on clean throwaway WO S9-24609 (POST /api/invoices/create 201, INV-S9-24609), then on the Finance tab opened the invoice three-dots menu ('Reverse' + 'Issue Credit'), clicked 'Reverse', and confirmed on the Warning modal. The reversal COMPLETED: server returned POST /api/invoices/reverse-invoice 200 and the WO reverted to un-invoiced (Invoiced=false, 'Create Invoice' available again, status Complete). This contradicts the expected BLOCKED result and directly confirms SV-8093: reversing a WO invoice is gated by Work Orders: Delete, and the staging Service Manager role HAS workOrdersDelete, so the reverse proceeds. The checklist's assumption that SM lacks WO Delete is not true for this staging role.",build/regression/screenshots/sm-N2.png
Service Manager,14,"Service Manager's Settings area is not limited to App Settings + Wages - Staff, Roles & Permissions, Locations, Departments and Feature Flags all open and are editable.","1. Log in as the Tech user assigned the Service Manager role. 2. Click the shop/avatar button at the top-right ('Staging Heavy Duty - 9919 / TS') and choose 'Settings'. 3. You land on the Administration console. Look at the left sidebar. 4. Observe it lists Feature Flags, Settings, Staff, Roles & Permissions, Locations and Departments. 5. Click 'Staff' -> a full employee directory loads with a 'New Staff Member' button. 6. Click 'Roles & Permissions' -> the full list of roles loads with a 'Create Custom Role' button and edit controls on every role. 7. Click 'Locations' and 'Departments' -> full tables load with New Location / New Department buttons. Expected per checklist: only App Settings and Wages should be available; Staff, Roles & Permissions, Locations, Departments and Feature Flags should not be accessible to a Service Manager.","As a Service Manager, opening Settings should show only App Settings and Wages. It should NOT expose Service, Parts, Finance or Data Import settings, and it should not give access to admin areas like Staff, Roles & Permissions, Locations or Departments.","The Service Manager's Settings/Administration area was NOT limited to App Settings + Wages. Opening Settings (account menu -> Settings) lands in the Administration console whose left sidebar shows six items: 'DEV TOOLS: Feature Flags' and 'SETTINGS: Settings, Staff, Roles & Permissions, Locations, Departments'. Every one of these opened with real, interactive content for the Service Manager: (a) Settings = App settings form (Organization/Invoice/Work Orders tabs, Save Details); (b) Staff = full staff directory showing Active(214)/Deactivated(73) with a 'New Staff Member' button; (c) Roles & Permissions = full list of all system and custom roles with a 'Create Custom Role' button and per-role edit/delete/view controls; (d) Locations = full locations table with 'New Location'; (e) Departments = full departments table with 'New Department'; (f) Feature Flags = feature-flag override panel. On the positive side, the four sections the checklist said must NOT appear (Service, Parts, Finance, Data Import) did NOT appear. But because the Service Manager can additionally see and open Staff, Roles & Permissions, Locations, Departments and Feature Flags, the 'only App Settings and Wages' limit is not enforced. (Note: a dedicated 'Wages' section was not surfaced as its own sidebar item.)",sm-14.png
Service Manager,N3,Service Manager could delete another user's work-order note (expected: only own notes editable).,"1. Log in as the Tech user assigned the Service Manager role. 2. Open a work order (e.g. S9-24674) and go to the Notes tab. 3. Click 'New Note', type something, and Save — the note is created under your name (this part is correct). 4. Have a DIFFERENT user (e.g. an Admin) add a note to the same work order. 5. Back as the Service Manager, refresh the Notes tab and click the three-dots menu on the OTHER user's note. 6. Observe that 'Edit note' and 'Delete note' are offered. 7. Click 'Delete note' — the other user's note is deleted. Expected per checklist: the Service Manager should NOT be able to edit or delete another user's note.","As a Service Manager you should be able to create and edit your own work-order notes, but you should NOT be able to edit or delete a note written by someone else.","The 'own note' half passed but the 'others' notes' half failed. Create-own worked: as the Service Manager I added a note on work order S9-24674 (saved via POST /api/note/create) and it appeared under author 'Tech ShopView'. Then a second note was created by the Admin user (author 'Admin ShopView'). Viewing the Notes tab as the Service Manager, the three-dot action menu on the OTHER user's (Admin's) note offered 'Edit note', 'Delete note' and 'Attach files' — the same as on my own note. I clicked 'Delete note' on the Admin-authored note and it was removed (POST /api/note/delete; the note disappeared from the list), proving the Service Manager can delete another user's note. This contradicts the expected result (should not be able to edit/delete others' notes).",sm-N3.png
Service Advisor (a.k.a. Junior SA),26,AP/AR customer tabs are visible and load real data for the Service Advisor even though AP/AR is OFF (they unlock via the invoicing-delete permission).,"1. Log in as the Tech user assigned the Service Advisor role. 2. Click Customers in the top nav. 3. Open any customer (e.g. 'new test'). 4. Look at the row of tabs under the customer name. 5. Observe that Invoices, Payments and Deposits tabs are present and show counts — they are NOT hidden, even though the role's Manage AP/AR toggle is OFF. Expected them to be hidden.","As a Junior Service Advisor, opening a customer (or vendor) should NOT show the accounts-receivable/payable tabs like Invoices, Payments and Deposits/Credits.","Opened customer 'new test' (eb304603) as Tech-with-Service-Advisor. The customer detail DID show the AR tabs: Work Orders (3), Part Sales, Contacts (1), Assets (1), Notes, Invoices (1), Payments (1), Deposits (1) — with live counts, so they load real AR data. This matches exactly what Admin (AP/AR ON) sees on the same customer, i.e. the tabs are NOT hidden for the SA. Root cause found in the frontend bundle: these tab routes are gated by requiredAnyPermission:['seeApArData','invoicingPaymentsDelete'] (an OR), and the Service Advisor role has invoicingPaymentsDelete=true, so the tabs unlock via the invoicing-delete permission despite seeApArData being OFF. (Note: the pure AP/AR-only surfaces — AR/AP Aging reports and IBS batch payments, which require seeApArData ALONE — are still hidden, and SA has no Reports page access anyway. The vendor detail page could not be reached at /parts/vendors/{id} — it 404s for Admin too, so the vendor route differs; the customer side alone already contradicts the expectation.)",sa-26.png
Technician,35,Technician could authorize/approve a work-order line via the API despite the control being hidden and the role lacking Create and Edit.,"1) Log in as Tech (Technician role). 2) Admin sets line 56028d16 on S9-24706 to 'authorization_required'. 3) As Tech POST /api/work-orders/lines/change-status {line_id:'56028d16-...', status:'authorized'} - returns 200. 4) Re-read the line: status is now 'authorized'. The change persisted, so the approve/authorize action was NOT blocked at the API even though the UI hides it.","A technician should not be able to approve or authorize a work-order line, and there should be no control to do it.","Two-way check. UI: the line's three-dot menu for the technician has NO approve/authorize option (only Request part, Add line note, Save as canned line, Story history, Add inspection, Edit labor, Move labor) - so the FE hides it correctly. HOWEVER the backend does NOT enforce the restriction: calling the exact UI endpoint POST /api/work-orders/lines/change-status {line_id, status:'authorized'} as the Technician returned HTTP 200 and the line status actually changed from 'authorization_required' to 'authorized' (verified by re-reading the line as both admin and tech). So the technician CAN authorize a line via the API despite lacking Create and Edit. This is a real permission-enforcement gap.",tech-35.png
Technician,37,Technician could change a work-order header field (service advisor) via the API despite being View-only.,"1) Log in as Tech (Technician role). 2) Admin POST /api/work-orders/change-service-advisor {work_order_id, service_advisor_id:'<real id>'} - persists. 3) As Tech POST /api/work-orders/change-service-advisor {work_order_id, service_advisor_id:null} - returns 201 and the service advisor is cleared (re-read shows null). The header change took effect for a View-only technician.","A technician should not be able to change the work order's lead technician, service advisor, customer or asset.","Two-way check. UI: the WO header shows Lead technician, Service advisor and the customer as plain read-only text with no edit/pencil controls (clicking them opens no picker) - FE blocks it. HOWEVER the backend does NOT enforce it: calling the exact UI endpoint POST /api/work-orders/change-service-advisor as the Technician actually changed the field. Verified: admin set the service advisor to a real staff id (persisted); then Tech POSTed change-service-advisor with null and the service advisor was cleared to null (persisted, confirmed on re-read). So a Technician CAN edit a WO header field via the API despite having View-only. Permission-enforcement gap.",tech-37.png
Technician,41,Technician could order a part via the API despite Order Parts being OFF.,"1) Log in as Tech (Technician role). 2) On S9-13556 find an 'Authorized to order' part (c40b2d97). 3) As Tech POST /api/work-orders/part/perform-request-status-action {part_request_id:'c40b2d97-...', action:'order'} - returns 201. 4) Re-read: status changed to 'waiting_to_receive' (Awaiting). Ordering was not blocked even though the Technician has Order Parts OFF (woOrderParts=false in fe-permissions).",A technician should NOT be able to order a part.,"Ordering a part as the Technician SUCCEEDED, which is wrong. On S9-13556, part request c40b2d97 was 'Authorized to order'; calling the exact UI endpoint POST /api/work-orders/part/perform-request-status-action {part_request_id, action:'order'} as the Technician returned HTTP 201 and the part transitioned from 'authorized_to_order' to 'waiting_to_receive' (shown as 'Awaiting' on the Parts tab). So the Technician CAN order parts despite Order Parts being OFF. Permission-enforcement gap.",tech-41.png
Parts Manager,44,Parts Manager cannot delete a part sale - the Delete control is shown but the API returns Access Denied (gated by the wrong permission).,1) Log in as Tech (assigned Parts Manager role). 2) Parts -> Part Sales -> open an estimate part sale (e.g. P9-994). 3) Open the header three-dot (kebab) menu -> click 'Delete' -> confirm. 4) Observe the request POST /api/work-orders/delete returns 403 and the browser lands on /access-denied; the part sale is NOT deleted.,"Logged in as a Parts Manager, you should have full control over parts and vendors and be able to delete a part sale.","Mostly works, but deleting a part SALE is blocked. Confirmed working as Tech-with-Parts-Manager-role: (1) Inventory/Catalog part CREATE succeeded - POST /api/inventory/parts/create returned 201 (created a ZZAUTOTEST part on bin A2CD). (2) Inventory/Catalog part DELETE succeeded - POST /api/inventory/parts/delete returned 201. (3) Vendor CREATE succeeded via the real UI 'New Vendor' form (filled Name/Country/Taxes, clicked Save & Close) - POST /api/parts-catalogue/add-vendor returned 201. (4) Vendor DELETE succeeded - POST /api/parts-catalogue/remove-vendor returned 201. (5) Part Sales list shows the 'New Part Sale' create button and prices. HOWEVER, deleting a part sale record FAILS: on part sale P9-994 the header three-dot menu DOES show a red 'Delete' option, but clicking it fires POST /api/work-orders/delete {work_order_id:...} which returns HTTP 403 'Access denied' and the app redirects the user to the /access-denied page. Part-sale deletion is gated by the Work Orders Delete permission (workOrdersDelete=false for Parts Manager) instead of the Part Sales Delete permission (partSalesDelete=true), so the Parts Manager cannot delete a part sale despite the spec granting Part Sales Delete and despite the UI presenting the Delete control.",pm-44.png
Parts Technician,49,Parts Technician could delete a catalog part via the API despite having no delete permission.,1. Log in as the Tech user assigned the Parts Tech system role. 2. Confirm fe-permissions has catalogInventoryCreateAndEdit but NOT catalogInventoryDelete. 3. Create a catalog part (POST /api/parts-catalogue/add-catalogue-part with name/part_number/size/measurement/tags) -> 201. 4. Attempt to delete it the same way the UI does: POST /api/parts-catalogue/remove-catalogue-part?id=<newPartId>. 5. Observe HTTP 200 and the part is gone from GET /api/parts-catalogue/catalogue-parts. Expected 403.,"As a Parts Technician you can create and edit catalog parts, but you must NOT be able to delete a catalog part — the system should block it.","Create is correctly allowed: as the Parts Tech user the 'New Catalog Part' button is present and creating a part via the catalog dialog succeeded (POST /api/parts-catalogue/add-catalogue-part returned 201, new part created). BUT delete is NOT blocked at the server: as the Parts Tech user (who has NO catalogInventoryDelete permission) I created a throwaway ZZAUTOTEST part and then called the same delete endpoint the app uses, POST /api/parts-catalogue/remove-catalogue-part?id=<partId>, and it returned 200 and the part was actually removed (it no longer appears in the catalogue list). The permission check is missing on the delete endpoint, so a Parts Tech can delete catalog parts despite lacking Delete rights. This is a backend enforcement gap.",pt-49.png
