Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
"Settings page shows the four Require settings under Workflow, Line, Parts groups",Work Order Settings,Functional,High,"1. You are signed in with access to Settings > App Settings.
2. Open the Work Order settings page.","1. Open Administration > App Settings (the Work Order settings page).
2. Read the setting labels and how the page is grouped.","1. The page shows four toggles: ""Require ordering parts"", ""Require picking inventory parts"", ""Require receiving parts before completion"", and ""Require approval for new lines"".
2. The page is grouped into ""Workflow"", ""Line requirements"" and ""Parts"", separated by dividers.
3. Every label reads in the ""Require..."" form, so turning one on always means more work.

---
This is the expected behaviour as per epic SV-8683 and story SV-9247 (Story 1, Work Order settings page) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9247 (Story 1),,
Auto-pick setting renamed to 'Require picking inventory parts' (inversion),Work Order Settings,Functional,High,"1. You are signed in with Settings > App Settings.
2. A shop that today has 'Automatically pick inventory parts' in its known state.","1. Open the Work Order settings page.
2. Find the picking setting and read its label.
3. Confirm the shop's picking behaviour is unchanged from before the rename.","1. The setting reads ""Require picking inventory parts"" (the old ""Automatically pick inventory parts"" label is gone).
2. The new wording is the opposite of the stored value: auto-pick off means picking required. The rename is a deliberate inversion, not just a text change.
3. The shop keeps exactly the picking behaviour it had before the rename.

---
This is the expected behaviour as per epic SV-8683 and story SV-9247 (Story 1, Work Order settings page) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9247 (Story 1),,
'Require ordering parts' is a new setting; on by default reproduces today,Work Order Settings,Functional,High,"1. You are signed in with Settings > App Settings.
2. A shop upgraded to this release.","1. Open the Work Order settings page.
2. Find ""Require ordering parts"" and read its default state and description.
3. With it on, open a work order and check a qualifying part; with it off, check the same.","1. ""Require ordering parts"" exists as a new toggle and defaults to on for every shop.
2. When on, an Order action appears on each qualifying part and in the bulk bar; when off, parts are recorded as ordered automatically and no Order action appears anywhere.
3. Because it defaults to on and nothing orders parts automatically today, an upgraded shop sees no change.

---
This is the expected behaviour as per epic SV-8683 and story SV-9247 (Story 1, Work Order settings page) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9247 (Story 1),,
Require picking and Require receiving control their actions and defaults,Work Order Settings,Functional,High,"1. You are signed in with Settings > App Settings.
2. You can toggle the picking and receiving settings and open an affected work order.","1. With ""Require picking inventory parts"" on, open a WO and check an inventory/found part; turn it off and check again.
2. With ""Require receiving parts before completion"" on, check where Receive sits and whether outstanding parts block invoicing; turn it off and check again.","1. Require picking on: a Pick action appears on each inventory and found part and in the bulk bar. Off: those parts are marked as picked automatically and no Pick action appears.
2. Require receiving on: outstanding parts block the work order from being invoiced, and a Receive button sits on each part row. Off: outstanding parts do not block invoicing, and Receive moves into the part's ... menu.
3. Both default to on (their behaviour today).

---
This is the expected behaviour as per epic SV-8683 and story SV-9247 (Story 1, Work Order settings page) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9247 (Story 1),,
Turning a Require setting on later does not retro-act on existing parts,Work Order Settings,Negative,Medium,"1. You are signed in with Settings > App Settings.
2. A work order has parts already ordered and already picked.","1. Turn ""Require ordering parts"" on and check parts already recorded as ordered.
2. Turn ""Require picking inventory parts"" on and check parts already picked.","1. Switching Require ordering on later does not un-order anything; parts already ordered stay ordered and only parts added afterwards need the press.
2. Switching Require picking on later does not un-pick anything; parts already picked stay picked.
3. No shop's behaviour changes at the moment this ships.

---
This is the expected behaviour as per epic SV-8683 and story SV-9247 (Story 1, Work Order settings page) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9247 (Story 1),,
"A settings change applies to every open work order, not just new ones",Work Order Settings,Functional,High,"1. You are signed in with Settings > App Settings.
2. Several open work orders exist in various statuses with outstanding parts and unapproved lines.","1. Turn ""Require ordering parts"" off and check outstanding parts across open work orders.
2. Turn ""Require picking inventory parts"" off and check outstanding inventory/found parts.
3. Turn ""Require receiving parts before completion"" off, then on, and check whether invoicing is blocked.
4. Turn ""Require approval for new lines"" off and check Needs-Approval lines.","1. The change applies to every open work order whatever its status, not only to work created afterwards.
2. Require ordering off: outstanding parts are recorded as ordered and the Order action disappears.
3. Require picking off: outstanding inventory and found parts are marked as picked and the Pick action disappears.
4. Require receiving off: outstanding parts stop blocking invoicing and stay outstanding, Receive moves to the ... menu. On: outstanding parts start blocking invoicing, nothing is auto-received, so a WO that was invoiceable may no longer be.
5. Require approval off: every line in Needs Approval becomes Approved (turning an estimate into approved work). On: lines already approved stay approved.
6. Statuses change in the underlying records, not only in the interface; invoicing checks the same state.

---
This is the expected behaviour as per epic SV-8683 and story SV-9248 (Story 2, Settings apply to every work order) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9248 (Story 2),,
Each settings-change record is written to the audit log with its cause,Work Order Settings,Functional,Medium,"1. You are signed in with Settings > App Settings.
2. A settings change has just been applied across open work orders.","1. Apply a settings change (for example turn Require approval for new lines off).
2. Open the audit log on an affected work order and on a changed line/part.","1. Every record changed is written to the audit log — on the work order and on each line or part changed.
2. Each entry is attributed to the system and names the cause, for example ""Line approved because Require approval for new lines was turned off"".

---
This is the expected behaviour as per epic SV-8683 and story SV-9248 (Story 2, Settings apply to every work order) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9248 (Story 2),,
Invoiced/paid work orders and declined lines are excluded from the sweep,Work Order Settings,Negative,Medium,"1. You are signed in with Settings > App Settings.
2. There is an invoiced (or paid) work order and a work order with a declined line and its parts.","1. Apply each of the four settings changes.
2. Check the invoiced/paid work order and the declined line and its parts.","1. Invoiced and paid work orders are never touched by any of these changes.
2. A declined line and its parts are excluded from every one of these changes.
3. No settings change marks anything as received (receiving needs a vendor bill only a person can supply).
4. If the run fails part way, re-running finishes the remainder without repeating what was already done.

---
This is the expected behaviour as per epic SV-8683 and story SV-9248 (Story 2, Settings apply to every work order) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9248 (Story 2),,
"Changing a setting opens a confirmation naming the setting, direction and count",Work Order Settings,Functional,High,"1. You are signed in with Settings > App Settings.
2. Open work orders exist so a change would affect real records.",1. Toggle each of the four settings (one at a time) and read the confirmation before saving.,"1. Changing any of the four settings opens a confirmation before anything is saved.
2. The confirmation names the setting and the direction in its title, so a wrong toggle is caught before confirming.
3. It states the consequence for that setting in that direction and the number of records that will change, for example ""N parts on open work orders will be marked as ordered."" or ""N lines across N estimates will be approved. This turns those estimates into approved work.""
4. The two money/commitment consequences — turning receiving on and turning approval off — are stated as a warning, not a count alone.
5. When the affected count is large, the confirmation also advises making the change outside working hours and states the app will be unavailable while it runs.

---
This is the expected behaviour as per epic SV-8683 and story SV-9249 (Story 3, Confirmation before a settings change) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9249 (Story 3),,
Cancelling a settings change leaves the setting and records unchanged,Work Order Settings,Negative,Low,"1. You are signed in with Settings > App Settings.
2. A settings confirmation is open.","1. Begin a settings change so the confirmation opens.
2. Cancel it.","1. Cancelling leaves the setting as it was and changes no records.

---
This is the expected behaviour as per epic SV-8683 and story SV-9249 (Story 3, Confirmation before a settings change) and the Simple Flow V2 specification version 23, read on 21 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/21/2026
",SV-9249 (Story 3),,
