internal_id,testrail_case_id,testrail_link,report,section,title,title_len,d1_useful,d1_reason,d2a_sense,d2a_reason,d3_genuine_layman,d3_traceable,d3_jargon_in_tester_text,d3_internal_id_in_tester_text,refs
IV-API-01,C30605,https://shopview.testrail.io/index.php?/cases/view/30605,IV,IV — API,Nightly snapshot records one row per in-stock non-core part per location,72,KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-R1; S11-R4)
IV-API-02,C30606,https://shopview.testrail.io/index.php?/cases/view/30606,IV,IV — API,A recorded snapshot day equals what the live report showed that day,67,KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-R2; §2 Relationship to nightly history)
IV-API-03,C30607,https://shopview.testrail.io/index.php?/cases/view/30607,IV,IV — API,Nightly snapshot: re-running the capture for a date replaces that date's rows,77,KEEP,Idempotent snapshot re-run (no duplicate rows) — protects the data the whole report stands on.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-R3)
IV-API-04,C30608,https://shopview.testrail.io/index.php?/cases/view/30608,IV,IV — API,Nightly snapshot: a re-run records today's truth; it cannot rebuild a past day,78,KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-R5; Story 5 S5-E1)
IV-API-05,C30609,https://shopview.testrail.io/index.php?/cases/view/30609,IV,IV — API,Snapshot retention: daily captures are kept for 0–13 months,59,KEEP,"Snapshot retention thinning (13 months daily, then monthly) — spec change-log item; data-lifecycle contract.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-R6)
IV-API-06,C30610,https://shopview.testrail.io/index.php?/cases/view/30610,IV,IV — API,Thinned history still served by the closest-recorded-day rule,61,KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-E1; S11-R6; Story 5 S5-R4; S5-R5; S5-N1)
IV-CALC-01,C30545,https://shopview.testrail.io/index.php?/cases/view/30545,IV,IV — Valuation & Columns,Unit Sell uses the part's fixed sell price when one is set,58,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R5 (fixed-price branch); §3 Key Decisions (unit sell resolved like the parts list))
IV-CALC-02,C30546,https://shopview.testrail.io/index.php?/cases/view/30546,IV,IV — Valuation & Columns,With no fixed sell price Unit Sell is the category's pricing-matrix markup,74,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R5 (matrix branch); §5 Assumptions)
IV-CALC-03,C30547,https://shopview.testrail.io/index.php?/cases/view/30547,IV,IV — Valuation & Columns,"With no fixed sell price and no category, Unit Sell equals Unit Cost",68,KEEP,"Sell-price fallback chain end (no price, no category -> valued at cost) — valuation contract.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R5 (no-category fallback) + context note; §5 Assumptions)
IV-CALC-04,C30548,https://shopview.testrail.io/index.php?/cases/view/30548,IV,IV — Valuation & Columns,Total Sell is quantity × Unit Sell and Total Cost is quantity × Unit Cost,73,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R6; S3-R7; §4 Terminology)
