InvoiceNo,Customer,InvoiceDate,DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,ItemAmount,ItemTaxCode,ItemTaxAmount,"ShopView Products and Services"
S1-43,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location","WO S1-43; Unit: CC-073;Unit Type: ; VIN: 3HTKHTVK9MN678906 Year/Make/Model: 2021 International Hv607; 96550 miles; 3195 Hours;",Labour,"What are you doing?: SV-8769 test line;Why are you doing it?: SV-8769;Tech Story: ZZAUTOTEST",1.00,100.00,100.00,"Flat 15%",15,Labor
S1-43,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Fee,"ZZAUTOTEST taxable fee",1,50.00,50.00,"Flat 15%",7.5,Fee
S1-43,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Fee,"ZZAUTOTEST PF 100pct",1,115.00,115.00,Exempt,0,Fee
S1-39,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location","WO S1-39; Unit: PF-019;Unit Type: ; VIN: 1GB3GSCG7J1901288 Year/Make/Model: 2018 Chevrolet Express 3500; 133870 miles; 1850 Hours;",Labour,"What are you doing?: BilalCT;Why are you doing it?: BilalCT;Tech Story: ",2.00,118.00,236.00,"Flat 15%",35.4,Labor
S1-39,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Inventory,"MR-AD-1200: Meritor Air Dryer Cartridge",2.00,74.90,149.80,"Flat 15%",22.47,Part
S1-37,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location","WO S1-37; Unit: PF-019;Unit Type: ; VIN: 1GB3GSCG7J1901288 Year/Make/Model: 2018 Chevrolet Express 3500; 133870 miles; 1850 Hours;",Labour,"What are you doing?: ZZAUTOTEST SV-8814 labor;Why are you doing it?: ;Tech Story: ZZAUTOTEST",2.00,118.00,236.00,"Flat 15%",35.4,Labor
S1-41,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location","WO S1-41; Unit: NS-118;Unit Type: ; VIN: 3AKJGLDR5LHL23452 Year/Make/Model: 2020 FREIGHTLINER CASCADIA; 298775 miles; 5120 Hours;",Labour,"What are you doing?: BilalCT;Why are you doing it?: BilalCT;Tech Story: ",2.00,118.00,236.00,"Flat 15%",35.4,Labor
S1-41,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Inventory,"MR-AD-1200: Meritor Air Dryer Cartridge",2.00,74.90,149.80,"Flat 15%",22.47,Part
S1-44,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location","WO S1-44; Unit: MW-014;Unit Type: ; VIN: 1M2AX07C9JM567895 Year/Make/Model: 2018 Mack Granite; 188920 miles; 7210 Hours;",Labour,"What are you doing?: SV-8769 test line;Why are you doing it?: SV-8769;Tech Story: ZZAUTOTEST",1.00,100.00,100.00,"Flat 15%",15,Labor
S1-44,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Fee,"ZZAUTOTEST taxable fee",1,50.00,50.00,"Flat 15%",7.5,Fee
S1-44,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Fee,"ZZAUTOTEST PF 100pct",1,115.00,115.00,Exempt,0,Fee
S1-42,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location","WO S1-42; Unit: AT-042;Unit Type: ; VIN: 1HTMKADN7KH123451 Year/Make/Model: 2019 International Mv607; 216450 miles; 3840 Hours;",Labour,"What are you doing?: SV-8769 test line;Why are you doing it?: SV-8769;Tech Story: ZZAUTOTEST",1.00,100.00,100.00,"Flat 15%",15,Labor
S1-42,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Fee,"ZZAUTOTEST taxable fee",1,50.00,50.00,"Flat 15%",7.5,Fee
S1-42,"Aadale Motors",08-10-2026,08-10-2026,"Due on Receipt","First Location",,Fee,"ZZAUTOTEST PF 100pct",1,115.00,115.00,Exempt,0,Fee
