"Locations: Staging Heavy Duty - 9919"
Type,"Part #",Description,Category,Vendor,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
Inventory,BRAKECLEAN,"Brake & Parts Cleaner",HD-Fluids,—,512.00,0.00,563.00,0.00,$4.79,$7.69,"$4,332.11","$1,634.06",37.7%,416,"52 days",618.00,1.41,144,"2,000"
Inventory,GREASETUBE,"EP2 Grease Tube, 390G",HD-Fluids,"Xawick Consulting",182.00,0.00,196.00,0.00,$4.37,$10.86,"$2,128.78","$1,272.36",59.8%,183,"52 days",23.00,13.43,10,40
Inventory,WWF,"Windshield Washer Fluid 4L",HD-Fluids,—,170.00,0.00,164.00,14.00,$3.98,$5.99,"$1,066.31",$358.50,33.6%,172,"52 days",200.00,1.44,24,208
Inventory,76-2405PK,"16-14GA Non-Insulated Butt Splice Connector","HD-Lighting & Electrical","Aiboro Rentals",485.00,0.00,501.00,0.00,$0.13,$0.38,$188.95,$121.52,64.3%,134,"54 days",170.00,4.84,30,100
Inventory,HDEO14,"15W40 Bulk- Mobil 1 Delvac HDEO",HD-Fluids,"Hibridge Supply","1,858.00",0.00,"2,117.00",0.00,$3.76,$6.40,"$13,544.67","$5,584.75",41.2%,110,"55 days","1,027.00",3.07,600,"1,500"
Inventory,Fuel,"Fuel Surcharge, Service Call","HD-Misc Charges",—,"7,111.00",0.00,"7,210.00",0.00,$0.01,$1.22,"$8,826.17","$8,754.07",99.2%,103,"52 days","-5,137.00",0.00,0,0
Inventory,84-4005PK,"3/16 BLACK SHRINK TUBE","HD-Lighting & Electrical","Zoburg Maintenance",129.00,0.00,145.00,0.00,$0.83,$1.71,$248.57,$127.58,51.3%,94,"54 days",-1.00,0.00,5,30
Inventory,8WS-075,"3/4"" FLAT WASHER",HD-Fasteners,"Aiboro Rentals",437.00,0.00,495.00,0.00,$0.24,$0.68,$335.85,$217.05,64.6%,87,"3 days",-24.00,0.00,25,100
Inventory,SHL55057739,"Shell Red Coolant- 50/50 Antifreeze 4L",HD-Fluids,"Xistone Consulting",227.00,0.00,239.00,0.00,$7.95,$11.87,"$2,837.44",$937.39,33.0%,86,"52 days",115.00,3.35,30,120
Inventory,MDS79DD,"75W90 Bulk- Mobil Delvac 1 Gear Oil",HD-Fluids,"Faspring Maintenance",171.00,0.00,202.00,5.00,$9.56,$14.62,"$3,025.99","$1,048.06",34.6%,83,"61 days",296.00,0.98,100,550
Inventory,SLCSC-075,"3/4"" NC STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",176.00,0.00,206.00,0.00,$0.78,$1.90,$391.36,$231.69,59.2%,71,"3 days",5.00,59.76,10,50
Inventory,84-4000PK,"1/4 BLACK SHRINK TUBE","HD-Lighting & Electrical","Zoburg Maintenance",77.00,0.00,82.00,0.00,$1.15,$2.56,$209.89,$115.73,55.1%,51,"52 days",15.00,8.71,5,30
Inventory,ATFMVDD,"ATF Bulk- Mobil 1 Multi Vehicle ",HD-Fluids,"Hibridge Supply",116.00,0.00,138.00,9.00,$6.34,$10.20,"$1,499.52",$568.07,37.9%,43,"52 days",128.55,1.53,100,"1,000"
Inventory,HDEO13,"10W30 Bulk- Mobil 1 Delvac HDEO",HD-Fluids,"Hibridge Supply",980.00,0.00,"1,028.00",0.00,$3.76,$6.37,"$6,550.32","$2,685.04",41.0%,43,"52 days",792.00,2.10,500,"1,500"
Inventory,8WS-050,"1/2"" FLAT WASHER",HD-Fasteners,"Aiboro Rentals",264.00,0.00,282.00,0.00,$0.11,$0.30,$83.90,$52.88,63.0%,39,"55 days",101.00,4.44,25,100
"Special Order",SUBLET,"Programming, CPC",HD-Sublet,"Zocrest Paving",38.00,1.00,38.00,0.00,$529.33,$655.48,"$24,908.33","$4,793.64",19.3%,38,"52 days",—,—,—,—
Inventory,CS8SC-075-500,"3/4""X5"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",86.00,0.00,94.00,0.00,$3.32,$6.64,$624.56,$312.28,50.0%,35,"3 days",1.00,146.00,0,0
Inventory,45001,"ENGINE SHAMPOO",HD-Fluids,—,28.00,0.00,29.00,0.00,$9.59,$15.03,$435.88,$157.72,36.2%,33,"54 days",9.00,5.28,4,15
Inventory,PRIMARYWIRE,"PRIMARY WIRE- 10GA, 12GA,14GA, 16GA, 18GA, 20GA, 22GA (PER FOOT)","HD-Lighting & Electrical","Cuview Management",456.00,0.00,462.00,0.00,$0.31,$0.88,$407.32,$263.89,64.8%,32,"61 days",716.00,1.08,250,"1,000"
Inventory,MXV221,"Max Vision Wiper Blade - 22""",Uncategorized,"Vatown Works",52.00,0.00,52.00,0.00,$6.95,$11.40,$592.54,$231.14,39.0%,31,"55 days",16.00,5.52,0,0
Inventory,76-2404PK,"22-18GA SEEMLESS BUTT CONNECTR","HD-Lighting & Electrical","Aiboro Rentals",103.00,0.00,112.00,0.00,$0.16,$0.45,$50.68,$32.76,64.6%,30,"59 days",892.00,0.20,30,200
Inventory,76-2946,"13"" Dual Clamp Cable Tie",HD-Fasteners,—,80.00,0.00,79.00,0.00,$1.72,$3.22,$254.30,$118.04,46.4%,30,"66 days",42.00,3.23,10,100
Inventory,DTE24UD,"Hydraulic Oil Bulk- AW32 ",HD-Fluids,"Hibridge Supply",741.00,0.00,810.00,0.00,$5.56,$7.87,"$6,376.19","$1,872.59",29.4%,30,"60 days",189.60,6.63,200,"1,100"
Inventory,500.015,"Wear Pad, Hanger, LH","HD-Steering & Suspension","Wuboro Farms",42.00,0.00,43.00,0.00,$5.62,$12.79,$549.94,$308.40,56.1%,29,"3 days",7.00,10.19,4,8
Inventory,500.016,"Wear Pad, Hanger, RH","HD-Steering & Suspension","Wuboro Farms",42.00,0.00,43.00,0.00,$5.62,$14.91,$641.14,$399.36,62.3%,29,"3 days",7.00,10.19,4,8
Inventory,83-6041PK,"19"" Dual Clamp Cable Tie",HD-Fasteners,"Cuview Management",192.00,0.00,194.00,0.00,$2.26,$3.60,$698.65,$260.21,37.2%,29,"56 days",16.00,20.37,10,150
Inventory,SLCSC-050,"1/2"" NC STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",106.00,0.00,111.00,0.00,$0.27,$0.73,$81.11,$51.14,63.1%,29,"56 days",16.00,11.25,10,50
Inventory,WS2,"WELDING SUPPLIES","HD-Fabrication & Building",—,23.00,0.00,25.00,0.00,$0.00,$68.00,"$1,700.02","$1,700.02",100.0%,28,"68 days",0.00,0.00,0,0
Inventory,8WS-062,"5/8"" FLAT WASHER",HD-Fasteners,"Aiboro Rentals",211.00,0.00,211.00,0.00,$0.20,$0.56,$117.71,$75.51,64.2%,27,"69 days",637.00,0.56,25,100
Inventory,LF14009NN,"Engine Oil FIlter, Cummins ISL/L9",HD-Filters,"Enson Forestry",23.00,0.00,25.00,0.00,$64.85,$102.05,"$2,551.32",$930.17,36.5%,27,"68 days",5.00,7.81,4,12
Inventory,76-2406PK,"12-10GA SEEMLESS BUTT CONNECTR","HD-Lighting & Electrical","Aiboro Rentals",78.00,0.00,80.00,0.00,$0.34,$0.96,$76.44,$49.24,64.4%,26,"61 days",364.00,0.36,30,130
Inventory,SLCSF-062,"5/8"" NF STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",165.00,0.00,174.00,0.00,$0.42,$1.05,$182.70,$109.62,60.0%,26,"82 days",109.00,2.57,0,0
Inventory,41160,"RED/SILVER REFLECTIVE TAPE 2"", (CONSPICUITY)","HD-Body Exterior","Weriver Electrical",391.00,0.00,421.00,0.00,$0.84,$1.70,$714.24,$361.24,50.6%,25,"64 days",376.00,1.77,50,200
Inventory,N62ET-12,"0.75-1.14"" (19-29mm)  LINER GEAR CLAMP","HD-Hose & Fittings","Humoor Energy",45.00,0.00,46.00,0.00,$0.79,$1.94,$89.10,$52.68,59.1%,25,"61 days",15.00,5.09,5,20
Inventory,20005-30,"WHEEL BEARING GREASE, RED - HIGH TEMP (PRIMGHT64, WOIPR127651)",HD-Fluids,"Baplains Solutions",29.00,0.00,32.00,0.00,$7.21,$11.83,$378.49,$147.62,39.0%,24,"68 days",5.00,9.85,1,5
Inventory,LF3970,"Engine Oil Filter, ISB, PX-6/7",HD-Filters,"Enson Forestry",36.00,0.00,20.00,1.00,$14.71,$27.23,$571.92,$263.08,46.0%,23,"55 days",1.00,61.12,2,4
Inventory,N10G-36000006,"Cabin Air Filter, Freightliner/Western Star",HD-Filters,"Enson Forestry",20.00,0.00,20.00,0.00,$11.56,$21.34,$426.80,$195.63,45.8%,23,"61 days",4.00,8.49,3,6
Inventory,3009,"Hub Cap Gasket, 6 Bolt, 5.5"" Bolt Pattern","HD-Wheel Comp","Xistone Consulting",23.00,0.00,25.00,0.00,$2.51,$4.94,$123.60,$60.87,49.3%,22,"66 days",10.00,3.90,6,12
Inventory,CS-RB-268,"Airliner Bushing ","HD-Steering & Suspension","Wuboro Farms",34.00,0.00,36.00,0.00,$24.58,$38.92,"$1,401.22",$516.42,36.9%,19,"61 days",6.00,9.62,4,12
Inventory,CS8SC-075-300,"3/4""X3"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",35.00,0.00,33.00,0.00,$2.09,$4.45,$146.71,$77.85,53.1%,19,"61 days",29.00,2.05,0,0
Inventory,3111,"GASKET DRIVE AXLE ","HD-Wheel Comp",—,20.00,0.00,20.00,0.00,$2.92,$5.55,$110.92,$52.54,47.4%,18,"55 days",4.00,8.49,5,15
Inventory,84-6105PK,"3/16 RED SHRINK TUBE","HD-Shop Supply",—,22.00,0.00,23.00,0.00,$1.27,$5.09,$117.00,$87.75,75.0%,18,"67 days",29.00,1.29,12,24
Inventory,LF14001NN,"NanoNet Engine Oil Filter, X12/X15",HD-Filters,"Enson Forestry",16.00,0.00,17.00,0.00,$67.69,$85.51,"$1,453.64",$302.97,20.8%,18,"59 days",4.00,6.79,4,12
Inventory,N62ET-16,"0.83-1.38"" (21-35mm)  LINER GEAR CLAMP","HD-Hose & Fittings","Humoor Energy",28.00,0.00,30.00,0.00,$0.78,$1.62,$48.58,$25.27,52.0%,18,"66 days",20.00,2.38,5,20
Inventory,S31S-950,"Group 31 Battery- Stud Post 950CCA",HD-Batteries,"Enson Forestry",41.00,0.00,45.00,0.00,$86.70,$126.92,"$5,711.58","$1,809.98",31.7%,17,"64 days",17.00,4.09,5,20
Inventory,SLCSC-062,"5/8"" NC STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",53.00,0.00,53.00,0.00,$0.47,$1.13,$59.76,$34.99,58.6%,17,"69 days",34.00,2.65,10,50
Inventory,WS1,"WELDING SUPPLIES","HD-Fabrication & Building",—,16.00,0.00,15.50,0.00,$0.00,$33.73,$522.86,$522.86,100.0%,17,"68 days",-1.00,0.00,0,0
Inventory,5141-C,"3/8"" SPLIT LOOM (769864)","HD-Lighting & Electrical","Yahall Energy",43.00,0.00,46.00,0.00,$0.35,$1.01,$46.51,$30.24,65.0%,16,"52 days",51.00,1.43,50,100
Inventory,83-2412,"Heat Shrinkable Ring Terminal, 16 - 14 Gauge, 1/4"" Stud","HD-Lighting & Electrical","Aiboro Rentals",19.00,0.00,24.00,0.00,$0.77,$1.93,$46.32,$27.84,60.1%,16,"61 days",18.00,1.79,10,25
Inventory,FS20176,"Fuel/Water Separator, Freightliner w/ Racor Head ",HD-Filters,"Enson Forestry",15.00,0.00,16.00,0.00,$50.74,$75.11,"$1,201.76",$389.96,32.5%,16,"68 days",2.00,12.73,2,3
Inventory,GREASEBULK,"RED TACKY MP EP2 GREASE","HD-Shop Supply",—,17.00,0.00,18.00,0.00,$4.38,$9.99,$179.82,$100.98,56.2%,16,"55 days",38.00,0.76,0,0
Inventory,"OIL SAMPLE","ENGINE OIL SAMPLE",HD-Fluids,"Chiburg Excavating",15.00,0.00,18.00,0.00,$30.00,$47.22,$850.00,$310.00,36.5%,16,"59 days",17.00,1.50,5,10
Inventory,5140-C,"1/4"" SPLIT LOOM PER FOOT (769870)","HD-Lighting & Electrical","Xistone Consulting",163.00,0.00,163.00,0.00,$1.24,$2.63,$428.59,$227.07,53.0%,15,"52 days",85.00,3.26,50,100
Inventory,84-4006PK,"1/8 BLACK SHRINK TUBE","HD-Lighting & Electrical",—,21.00,0.00,22.00,0.00,$0.78,$1.81,$39.81,$22.63,56.9%,15,"69 days",2.00,17.83,2,12
Inventory,FF63054NN,"Fuel Filter, Cummins B6.7/L9",HD-Filters,"Enson Forestry",12.00,0.00,14.00,1.00,$47.28,$75.88,"$1,138.16",$428.93,37.7%,15,"56 days",2.00,10.19,3,5
Inventory,N62ET-10,"0.75-0.94"" (19-24mm)  LINER GEAR CLAMP","HD-Hose & Fittings","Humoor Energy",26.00,0.00,28.00,0.00,$0.78,$1.60,$44.88,$22.99,51.2%,15,"59 days",39.00,1.13,5,10
